age,tl
NA,300
NA,307
NA,285
NA,257
NA,237
NA,215
NA,263
NA,136
NA,281
NA,257
NA,408
NA,200
NA,255
NA,282
NA,271
NA,262
NA,246
NA,257
NA,233
NA,300
NA,276
NA,334
NA,238
NA,287
NA,263
NA,341
NA,294
NA,216
NA,292
NA,234
NA,250
NA,290
NA,134
NA,295
NA,258
NA,235
NA,238
NA,256
NA,144
NA,234
NA,234
NA,251
NA,251
NA,294
NA,261
NA,402
NA,241
NA,397
NA,267
NA,275
NA,382
NA,210
NA,253
NA,327
NA,204
NA,272
NA,191
NA,223
NA,150
NA,272
NA,240
NA,262
NA,271
NA,267
NA,376
NA,254
NA,222
NA,261
NA,257
NA,256
NA,203
NA,302
NA,260
NA,226
NA,317
NA,265
NA,227
NA,212
NA,193
NA,225
NA,367
NA,252
NA,263
NA,283
NA,227
NA,171
NA,234
NA,444
NA,297
NA,320
NA,257
NA,295
NA,138
NA,141
NA,133
NA,315
NA,420
NA,242
NA,194
NA,264
NA,208
NA,306
NA,306
NA,263
NA,204
NA,268
NA,265
NA,282
NA,145
NA,242
NA,263
NA,268
NA,315
NA,251
NA,154
NA,288
NA,264
NA,258
NA,242
NA,328
NA,388
NA,243
NA,221
NA,338
NA,255
NA,257
NA,263
NA,142
NA,350
NA,475
NA,277
NA,333
NA,292
NA,277
NA,308
NA,224
NA,213
NA,297
NA,394
NA,223
NA,312
NA,230
NA,184
NA,231
NA,306
NA,236
NA,227
NA,250
NA,282
NA,286
NA,237
NA,264
NA,296
NA,130
NA,243
NA,264
NA,337
NA,207
NA,213
NA,305
NA,258
NA,306
NA,280
NA,333
NA,273
NA,242
NA,340
NA,110
NA,267
NA,227
NA,357
NA,130
NA,353
NA,301
NA,268
NA,135
NA,230
NA,277
NA,220
NA,198
NA,354
NA,328
NA,285
NA,191
NA,256
NA,215
NA,247
NA,248
NA,124
NA,254
NA,267
NA,291
NA,202
NA,202
NA,311
NA,294
NA,263
NA,307
NA,274
NA,344
NA,285
NA,213
NA,306
NA,335
NA,137
NA,266
NA,231
NA,281
NA,235
NA,260
NA,314
NA,317
NA,286
NA,260
NA,285
NA,217
NA,368
NA,347
NA,135
NA,161
NA,275
NA,202
NA,307
NA,154
NA,311
NA,346
NA,310
NA,360
NA,207
NA,253
NA,228
NA,227
NA,257
NA,333
NA,407
NA,278
NA,320
NA,314
NA,223
NA,132
NA,257
NA,307
NA,342
NA,223
NA,358
NA,287
NA,264
NA,293
NA,156
NA,326
NA,237
NA,246
NA,347
NA,248
NA,180
NA,254
NA,267
NA,245
NA,177
NA,278
NA,246
NA,213
NA,281
NA,227
NA,133
NA,288
NA,224
NA,263
NA,197
NA,228
NA,258
NA,261
NA,326
NA,288
NA,276
NA,244
NA,235
NA,245
NA,140
NA,220
NA,143
NA,343
NA,234
NA,223
NA,277
NA,305
NA,191
NA,198
NA,210
NA,253
NA,136
NA,260
NA,254
NA,266
NA,316
NA,147
NA,280
NA,202
NA,225
NA,182
NA,445
NA,220
NA,270
NA,234
NA,306
NA,320
NA,265
NA,296
NA,173
NA,248
NA,252
NA,265
NA,245
NA,266
NA,270
NA,290
NA,250
NA,487
NA,258
NA,305
NA,312
NA,222
NA,217
NA,378
NA,320
NA,244
NA,337
NA,277
NA,265
NA,308
NA,272
NA,287
NA,231
NA,305
NA,268
NA,288
NA,277
NA,327
NA,234
NA,264
NA,257
NA,225
NA,230
NA,267
NA,296
NA,258
NA,248
NA,297
NA,257
NA,215
NA,323
NA,314
NA,263
NA,235
NA,300
NA,252
NA,577
NA,205
NA,331
NA,367
NA,243
NA,285
NA,332
NA,223
NA,213
NA,276
NA,130
NA,266
NA,347
NA,316
NA,258
NA,256
NA,215
NA,220
NA,372
NA,717
NA,227
NA,332
NA,294
NA,254
NA,284
NA,221
NA,298
NA,241
NA,343
NA,303
NA,224
NA,231
NA,308
NA,282
NA,225
NA,294
NA,254
NA,275
NA,267
NA,275
NA,383
NA,251
NA,130
NA,256
NA,256
NA,256
NA,294
NA,275
NA,198
NA,363
NA,322
NA,235
NA,338
NA,244
NA,320
NA,334
NA,170
NA,278
NA,322
NA,293
NA,211
NA,262
NA,462
NA,224
NA,374
NA,195
NA,272
NA,186
NA,250
NA,264
NA,241
NA,230
NA,241
NA,237
NA,215
NA,270
NA,268
NA,237
NA,305
NA,308
NA,271
NA,221
NA,226
NA,278
NA,343
NA,221
NA,157
NA,323
NA,262
NA,254
NA,230
NA,287
NA,221
NA,214
NA,233
NA,270
NA,182
NA,266
NA,240
NA,264
NA,303
NA,198
NA,201
NA,284
NA,228
NA,245
NA,218
NA,298
NA,215
NA,204
NA,343
NA,238
NA,276
NA,315
NA,242
NA,391
NA,268
NA,414
NA,278
NA,326
NA,323
NA,260
NA,338
NA,216
NA,223
NA,311
NA,137
NA,214
NA,297
NA,264
NA,253
NA,234
NA,207
NA,330
NA,292
NA,296
NA,278
NA,343
NA,325
NA,256
NA,290
NA,371
NA,152
NA,215
NA,352
NA,264
NA,198
NA,240
NA,303
NA,303
NA,207
NA,314
NA,203
NA,405
NA,271
NA,288
NA,245
NA,223
NA,265
NA,351
NA,155
NA,318
NA,221
NA,230
NA,243
NA,275
NA,267
NA,302
NA,183
NA,252
NA,298
NA,214
NA,243
NA,295
NA,195
NA,208
NA,287
NA,280
NA,240
NA,315
NA,298
NA,213
NA,284
NA,313
NA,270
NA,141
NA,297
NA,271
NA,326
NA,265
NA,263
NA,240
NA,247
NA,265
NA,335
NA,324
NA,138
NA,224
NA,422
NA,255
NA,347
NA,316
NA,253
NA,232
NA,203
NA,227
NA,228
NA,220
NA,284
NA,254
NA,314
NA,380
NA,198
NA,150
NA,340
NA,257
NA,263
NA,315
NA,275
NA,234
NA,235
NA,260
NA,237
NA,233
NA,203
NA,298
NA,251
NA,271
NA,206
NA,201
NA,263
NA,218
NA,225
NA,254
NA,131
NA,284
NA,263
NA,236
NA,210
NA,310
NA,250
NA,214
NA,237
NA,263
NA,244
NA,131
NA,220
NA,266
NA,258
NA,304
NA,242
NA,203
NA,222
NA,213
NA,206
NA,241
NA,176
NA,135
NA,140
NA,275
NA,330
NA,205
NA,177
NA,234
NA,287
NA,313
NA,132
NA,193
NA,237
NA,222
NA,241
NA,306
NA,237
NA,278
NA,254
NA,221
NA,334
NA,211
NA,305
NA,267
NA,263
NA,253
NA,287
NA,418
NA,330
NA,244
NA,275
NA,221
NA,318
NA,260
NA,282
NA,265
NA,288
NA,314
NA,236
NA,224
NA,231
NA,218
NA,283
NA,206
NA,361
NA,222
NA,364
NA,221
NA,285
NA,218
NA,302
NA,223
NA,261
NA,240
NA,363
NA,178
NA,351
NA,268
NA,313
NA,202
NA,237
NA,258
NA,296
NA,288
NA,266
NA,398
NA,300
NA,263
NA,295
NA,147
NA,245
NA,224
NA,290
NA,305
NA,266
NA,372
NA,257
NA,218
NA,223
NA,210
NA,253
NA,260
NA,272
NA,328
NA,251
NA,220
NA,110
NA,271
NA,213
NA,260
NA,230
NA,290
NA,261
NA,225
NA,136
NA,257
NA,222
NA,321
NA,235
NA,307
NA,273
NA,295
NA,222
NA,224
NA,317
NA,240
NA,363
NA,273
NA,310
NA,275
NA,295
NA,241
NA,291
NA,142
NA,244
NA,296
NA,265
NA,327
NA,277
NA,256
NA,212
NA,218
NA,278
NA,236
NA,321
NA,260
NA,213
NA,268
NA,325
NA,234
NA,268
NA,375
NA,221
NA,424
NA,275
NA,164
NA,476
NA,241
NA,210
NA,334
NA,336
NA,273
NA,187
NA,251
NA,237
NA,350
NA,294
NA,231
NA,238
NA,295
NA,308
NA,208
NA,240
NA,255
NA,215
NA,250
NA,190
NA,278
NA,261
NA,217
NA,207
NA,281
NA,235
NA,256
NA,288
NA,301
NA,482
NA,230
NA,278
NA,318
NA,340
NA,224
NA,122
NA,263
NA,244
NA,288
NA,302
NA,113
NA,267
NA,308
NA,338
NA,170
NA,122
NA,423
NA,265
NA,121
NA,250
NA,256
NA,278
NA,295
NA,197
NA,304
NA,286
NA,251
NA,288
NA,214
NA,221
NA,300
NA,118
NA,202
NA,275
NA,474
NA,236
NA,255
NA,212
NA,276
NA,304
NA,223
NA,226
NA,400
NA,280
NA,304
NA,194
NA,303
NA,395
NA,250
NA,258
NA,313
NA,406
NA,267
NA,124
NA,100
NA,293
NA,333
NA,304
NA,175
NA,336
NA,336
NA,133
NA,282
NA,321
NA,217
NA,214
NA,266
NA,233
NA,277
NA,167
NA,314
NA,365
NA,284
NA,201
NA,323
NA,158
NA,307
NA,387
NA,286
NA,270
NA,488
NA,115
NA,274
NA,193
NA,286
NA,248
NA,226
NA,228
NA,224
NA,143
NA,251
NA,210
NA,228
NA,167
NA,267
NA,276
NA,251
NA,312
NA,223
NA,212
NA,172
NA,468
NA,274
NA,242
NA,286
NA,286
NA,261
NA,448
NA,296
NA,351
NA,285
NA,302
NA,285
NA,222
NA,256
NA,294
NA,314
NA,138
NA,366
NA,132
NA,226
NA,250
NA,356
NA,216
NA,192
NA,172
NA,233
NA,262
NA,368
NA,231
NA,316
NA,191
NA,315
NA,261
NA,270
NA,298
NA,231
NA,265
NA,173
NA,275
NA,325
NA,233
NA,223
NA,231
NA,325
NA,251
NA,312
NA,287
NA,347
NA,251
NA,243
NA,154
NA,247
NA,353
NA,221
NA,265
NA,137
NA,240
NA,235
NA,182
NA,291
NA,236
NA,267
NA,332
NA,337
NA,227
NA,247
NA,281
NA,378
NA,344
NA,292
NA,262
NA,231
NA,301
NA,238
NA,223
NA,255
NA,741
NA,292
NA,242
NA,294
NA,138
NA,301
NA,230
NA,117
NA,272
NA,255
NA,228
NA,278
NA,194
NA,270
NA,130
NA,225
NA,146
NA,301
NA,240
NA,292
NA,196
NA,297
NA,210
NA,211
NA,130
NA,172
NA,173
NA,285
NA,268
NA,261
NA,283
NA,274
NA,240
NA,292
NA,244
NA,238
NA,253
NA,220
NA,284
NA,248
NA,228
NA,271
NA,288
NA,283
NA,314
NA,132
NA,260
NA,226
NA,314
NA,254
NA,210
NA,255
NA,185
NA,231
NA,410
NA,126
NA,263
NA,372
NA,148
NA,233
NA,250
NA,301
NA,246
NA,197
NA,168
NA,242
NA,258
NA,253
NA,275
NA,276
NA,305
NA,238
NA,187
NA,207
NA,297
NA,240
NA,266
NA,180
NA,231
NA,276
NA,141
NA,222
NA,348
NA,334
NA,270
NA,296
NA,273
NA,141
NA,258
NA,263
NA,226
NA,172
NA,324
NA,276
NA,278
NA,213
NA,140
NA,253
NA,141
NA,137
NA,233
NA,196
NA,257
NA,282
NA,310
NA,276
NA,306
NA,125
NA,286
NA,287
NA,283
NA,224
NA,278
NA,355
NA,233
NA,283
NA,200
NA,236
NA,295
NA,234
NA,252
NA,476
NA,302
NA,365
NA,391
NA,221
NA,277
NA,182
NA,335
NA,326
NA,131
NA,246
NA,242
NA,216
NA,272
NA,192
NA,188
NA,242
NA,141
NA,221
NA,256
NA,211
NA,251
NA,307
NA,284
NA,142
NA,281
NA,240
NA,377
NA,293
NA,133
NA,210
NA,272
NA,321
NA,316
NA,231
NA,348
NA,326
NA,244
NA,287
NA,363
NA,216
NA,290
NA,262
NA,286
NA,244
NA,250
