lakeid,year4,sampledate,gearid,spname,length,weight
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,45,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,45,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,45,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,45,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,45,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,45,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,45,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,45,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,46,0.1
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,46,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,46,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,46,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,46,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,46,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,46,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,46,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,46,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,46,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,46,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,46,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,46,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,46,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,46,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,46,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,46,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,47,0.3
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,47,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,47,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,47,0.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,47,0.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,47,1
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,47,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,47,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,47,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,47,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,47,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,47,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,48,0.4
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,48,0.4
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,48,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,48,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,48,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,48,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,49,0.5
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,49,0.7
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,49,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,49,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,49,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,50,0.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,50,0.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,50,0.5
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,50,0.6
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,50,0.7
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,50,0.8
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,50,0.8
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,50,1
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,50,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,50,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,50,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,50,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,50,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,50,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,50,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,50,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,50,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,50,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,50,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,50,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,50,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,50,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,50,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,50,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,50,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,51,0.5
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,51,0.5
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,51,0.6
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,51,0.7
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,51,0.8
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,51,1
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,51,1
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,51,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,51,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,51,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,51,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,51,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,51,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,51,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,52,0.5
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,52,1
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,52,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,52,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,52,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,52,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,52,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,52,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,52,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,52,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,52,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,52,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,53,0.5
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,53,0.8
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,53,0.9
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,53,0.9
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,53,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,53,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,53,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,53,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,53,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,54,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,54,0.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,54,1
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,54,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,54,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,54,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,54,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,54,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,55,1
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,55,1
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,55,1
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,55,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,55,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,55,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,55,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,55,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,55,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,55,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,55,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,55,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,56,1.2
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,56,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,57,1
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,57,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,58,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,59,1.5
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,60,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,61,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,62,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,66,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,70,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,75,2.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,76,3.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,80,3.5
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,80,3.8
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,80,4.2
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,80,4.5
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,80,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,81,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,81,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,81,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,82,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,82,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,83,5
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,83,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,83,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,83,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,83,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,83,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,83,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,84,4.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,84,4.5
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,84,4.9
TR,1981,8/11/1981,VGN019,YELLOWPERCH,84,5
TR,1981,8/11/1981,VGN019,YELLOWPERCH,84,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,85,4.5
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,85,4.9
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,85,5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,85,5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,85,5
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,85,5.2
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,86,5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,86,5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,86,5
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,86,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,86,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,86,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,86,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,86,NA
TR,1981,8/12/1981,VGN019,YELLOWPERCH,86,NA
TR,1981,8/12/1981,VGN019,YELLOWPERCH,86,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,86,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,87,5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,87,5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,87,5.2
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,87,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,87,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,87,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,87,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,87,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,88,5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,88,5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,88,5.8
TR,1981,8/10/1981,VGN019,YELLOWPERCH,88,5.9
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,88,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,88,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,88,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,88,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,88,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,88,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,88,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,88,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,89,4
TR,1981,8/10/1981,VGN019,YELLOWPERCH,89,5.6
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,89,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,89,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,89,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,89,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,89,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,89,NA
TR,1981,8/12/1981,VGN019,YELLOWPERCH,89,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,89,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,89,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,89,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,89,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,90,5.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,90,5.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,90,6
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,90,6
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,90,6.8
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,90,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,90,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,90,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,90,NA
TR,1981,8/10/1981,VGN019,YELLOWPERCH,91,5.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,91,5.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,91,6
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,91,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,91,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,91,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,91,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,91,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,91,NA
TR,1981,8/12/1981,VGN019,YELLOWPERCH,91,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,91,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,91,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,91,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,92,5.7
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,92,6
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,92,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,92,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,92,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,92,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,92,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,92,NA
TR,1981,8/10/1981,VGN019,YELLOWPERCH,93,7.3
TR,1981,8/11/1981,VGN019,YELLOWPERCH,93,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,93,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,93,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,94,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,95,6
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,95,7.1
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,95,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,95,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,95,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,95,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,96,NA
TR,1981,8/11/1981,VGN019,YELLOWPERCH,96,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,96,NA
TR,1981,8/12/1981,VGN019,YELLOWPERCH,96,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,97,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,97,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,98,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,99,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,100,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,100,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,101,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,101,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,101,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,102,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,102,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,103,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,103,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,104,NA
TR,1981,8/12/1981,VGN019,YELLOWPERCH,104,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,105,10
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,105,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,105,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,105,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,105,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,105,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,105,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,105,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,106,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,106,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,106,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,107,10.5
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,107,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,108,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,108,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,108,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,108,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,108,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,109,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,109,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,109,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,109,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,109,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,109,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,109,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,110,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,111,11
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,111,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,112,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,112,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,112,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,112,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,112,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,113,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,114,12
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,115,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,115,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,115,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,115,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,116,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,116,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,118,12.7
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,118,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,119,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,120,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,120,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,120,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,120,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,121,17
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,122,15
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,122,16
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,122,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,124,18
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,124,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,125,17
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,125,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,125,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,126,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,127,18.5
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,127,20.7
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,127,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,129,23
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,129,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,130,19.5
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,130,21.6
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,130,NA
TR,1981,8/12/1981,FYKNET,YELLOWPERCH,131,22
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,132,22.4
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,132,NA
TR,1981,8/15/1981,MINNOW,YELLOWPERCH,132,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,134,21.5
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,134,22
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,135,NA
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,135,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,136,23
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,137,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,141,27.2
