tl	loc
10.7	inner
11.4	inner
10.5	inner
12.4	inner
12.5	inner
11.4	inner
12.2	inner
12.5	inner
10.1	inner
12	inner
10.3	inner
12.3	inner
11.9	inner
10.5	inner
12.3	inner
10	inner
12.2	inner
12	inner
12	inner
11.6	inner
11.8	inner
11.3	inner
12.4	inner
12	inner
11.2	inner
11.4	inner
11.9	inner
11	inner
11.5	inner
11.7	inner
12.1	inner
11.7	inner
10.8	inner
11.2	inner
11.1	inner
12	inner
10.6	inner
11.7	inner
10.7	inner
10.2	inner
11.3	inner
12.4	inner
11.8	inner
12.5	inner
11.7	inner
10.4	inner
10.3	inner
10.8	inner
11.2	inner
10.7	inner
12.4	inner
10.7	inner
11.7	inner
10.8	inner
10.7	inner
11.3	inner
11.6	inner
10.2	inner
11.4	inner
10.1	inner
11.9	inner
10.1	inner
11.7	inner
11.8	inner
11.5	inner
10.8	inner
12.1	inner
10.7	inner
10.6	inner
10.5	inner
11	inner
11.1	inner
10.9	inner
10.8	inner
11.2	inner
10.3	inner
11.7	inner
10	inner
11.8	inner
11.4	inner
11.2	inner
10.5	inner
12.2	inner
10.5	inner
10.1	inner
10	inner
12.9	inner
13.3	inner
13	inner
12.8	inner
14.9	inner
14.6	inner
13.8	inner
13.7	inner
12.9	inner
12.6	inner
14.9	inner
12.8	inner
14.2	inner
14.3	inner
12.7	inner
13.3	inner
14.7	inner
13	inner
14.9	inner
13.5	inner
14.5	inner
13.9	inner
13.2	inner
13.6	inner
14.6	inner
14.3	inner
14.5	inner
15	inner
14.1	inner
15	inner
13.6	inner
13.7	inner
13.4	inner
12.6	inner
13.9	inner
12.9	inner
13.1	inner
14.4	inner
13.2	inner
13.5	inner
13.5	inner
12.7	inner
13.5	inner
13.4	inner
13.7	inner
14.4	inner
12.9	inner
13.4	inner
13.3	inner
12.8	inner
14.6	inner
14.2	inner
13.6	inner
12.7	inner
12.8	inner
13.5	inner
14.8	inner
14.7	inner
13.5	inner
12.9	inner
13.6	inner
13.1	inner
14.1	inner
12.8	inner
12.8	inner
14.1	inner
15	inner
14.9	inner
14.1	inner
14.6	inner
13.4	inner
14.2	inner
13.3	inner
12.5	inner
13.6	inner
12.7	inner
13.7	inner
13.1	inner
13.7	inner
13.9	inner
13.2	inner
14.1	inner
14.3	inner
12.9	inner
14.5	inner
12.6	inner
12.7	inner
14	inner
13.6	inner
13.3	inner
12.9	inner
14.2	inner
12.7	inner
14.2	inner
13.3	inner
12.7	inner
12.8	inner
13.8	inner
13	inner
14.4	inner
14.9	inner
12.8	inner
13.3	inner
14.6	inner
13.8	inner
13.2	inner
13.3	inner
13.4	inner
14.7	inner
14	inner
14.4	inner
13.1	inner
13.1	inner
13.8	inner
13.9	inner
13.8	inner
12.5	inner
13.8	inner
13.9	inner
13.9	inner
13.2	inner
12.6	inner
13.6	inner
14.3	inner
14.7	inner
14.2	inner
13.9	inner
12.6	inner
14.3	inner
13.4	inner
14	inner
13.3	inner
14.3	inner
13.4	inner
13.8	inner
13.1	inner
14.1	inner
13.1	inner
14.6	inner
14.6	inner
14.9	inner
13.8	inner
14.8	inner
12.8	inner
12.6	inner
14.5	inner
13.1	inner
14.2	inner
13.1	inner
14	inner
12.6	inner
14.4	inner
13.9	inner
14.9	inner
13.4	inner
13.5	inner
13.7	inner
13.9	inner
14.9	inner
14.3	inner
12.5	inner
14.4	inner
14.4	inner
14.5	inner
14.8	inner
13.4	inner
14.4	inner
12.8	inner
14.8	inner
14.5	inner
13.4	inner
13.9	inner
14.9	inner
14.4	inner
12.6	inner
12.5	inner
12.9	inner
14.2	inner
14.5	inner
14.6	inner
13.8	inner
13.9	inner
13.8	inner
15	inner
12.8	inner
13.7	inner
13.7	inner
14.8	inner
14.3	inner
13.9	inner
14.5	inner
14	inner
14.5	inner
14.5	inner
13.8	inner
14.2	inner
12.8	inner
13.8	inner
14.5	inner
14.9	inner
14	inner
12.7	inner
13.8	inner
14.4	inner
13.5	inner
12.8	inner
13.2	inner
12.9	inner
13	inner
14.7	inner
13.1	inner
14.8	inner
13.7	inner
13.3	inner
13.4	inner
13.4	inner
14.5	inner
14.6	inner
13.9	inner
14.8	inner
14.5	inner
13.5	inner
12.8	inner
14.6	inner
12.9	inner
14.2	inner
13.8	inner
14	inner
14.1	inner
14.5	inner
13.6	inner
14.8	inner
13.8	inner
14.1	inner
13.4	inner
13.5	inner
14.6	inner
14.5	inner
13.9	inner
14.5	inner
13.9	inner
14.1	inner
14.2	inner
14.8	inner
14.1	inner
14	inner
14.9	inner
13	inner
13.4	inner
13.6	inner
14	inner
13.9	inner
13.8	inner
14.7	inner
13.4	inner
14.5	inner
13.8	inner
12.8	inner
12.9	inner
12.7	inner
14.8	inner
14.2	inner
12.6	inner
14.5	inner
13.5	inner
14.2	inner
14.9	inner
14	inner
13.7	inner
14.7	inner
14.4	inner
13.7	inner
13.6	inner
14.8	inner
15	inner
13.6	inner
14.7	inner
14.8	inner
13.3	inner
13.6	inner
13.2	inner
13.9	inner
14	inner
14.3	inner
14	inner
13.6	inner
14.8	inner
13	inner
14.7	inner
12.6	inner
13.9	inner
14.5	inner
13.2	inner
13.6	inner
13.7	inner
14.6	inner
14.3	inner
13.5	inner
12.5	inner
12.6	inner
14.6	inner
14.6	inner
12.7	inner
13.3	inner
13.5	inner
14.3	inner
12.8	inner
14	inner
14.7	inner
14.9	inner
13.2	inner
14.9	inner
13.2	inner
14	inner
13.3	inner
13.8	inner
14.1	inner
13.5	inner
14	inner
16	inner
17.1	inner
17.4	inner
15	inner
17.1	inner
16.2	inner
15.1	inner
17.2	inner
15.8	inner
16.6	inner
16.7	inner
17.5	inner
17.2	inner
16.6	inner
16.5	inner
15.7	inner
17.3	inner
16.7	inner
15.1	inner
15.4	inner
17.4	inner
16.9	inner
16.4	inner
16.6	inner
15.9	inner
15.9	inner
17.4	inner
16.2	inner
17.4	inner
15.9	inner
16	inner
16.8	inner
17.4	inner
17	inner
17.4	inner
17.5	inner
16	inner
15.7	inner
16.8	inner
16.6	inner
15.2	inner
15.4	inner
16.7	inner
17	inner
16.7	inner
15.3	inner
17.5	inner
16.5	inner
17	inner
15.9	inner
15.6	inner
15.1	inner
16.4	inner
16	inner
15.5	inner
16	inner
16.6	inner
15.6	inner
17.4	inner
17.5	inner
16	inner
16	inner
15.5	inner
15.1	inner
17.4	inner
15.6	inner
17.3	inner
15.5	inner
15.3	inner
16	inner
15.4	inner
15.9	inner
17.1	inner
16.8	inner
16.2	inner
16.8	inner
15.8	inner
17.4	inner
16.6	inner
16.1	inner
16.4	inner
17.2	inner
17	inner
16	inner
17.4	inner
15.5	inner
16.3	inner
16.6	inner
15.4	inner
16.3	inner
17.3	inner
15.4	inner
16.9	inner
16.4	inner
15.9	inner
16.3	inner
16.2	inner
15.8	inner
16.8	inner
16.7	inner
15	inner
16.3	inner
17	inner
16.5	inner
16.1	inner
17.3	inner
16	inner
16.8	inner
16.5	inner
17.3	inner
15.2	inner
16.8	inner
17	inner
16.9	inner
15.8	inner
16	inner
15	inner
16.9	inner
15.4	inner
15.5	inner
16.1	inner
16.3	inner
16	inner
15.1	inner
16	inner
16.6	inner
16.2	inner
15.2	inner
16.7	inner
15.4	inner
15.9	inner
16.6	inner
16.9	inner
15.9	inner
16.8	inner
16.1	inner
16.5	inner
16.7	inner
16.9	inner
16.4	inner
16	inner
17.2	inner
15	inner
15.6	inner
16	inner
15.3	inner
15.3	inner
15.4	inner
15.1	inner
15.7	inner
15.8	inner
16.5	inner
16.6	inner
15.1	inner
17.1	inner
15.6	inner
16.9	inner
15	inner
15.2	inner
16.5	inner
15.2	inner
16.4	inner
16	inner
16.7	inner
16.9	inner
15.1	inner
16.5	inner
16.1	inner
15.2	inner
17.4	inner
16.9	inner
17.5	inner
16.2	inner
15.1	inner
16	inner
17.5	inner
17.3	inner
15.7	inner
15.9	inner
16.1	inner
15.3	inner
17.3	inner
17.2	inner
17.2	inner
15.7	inner
16	inner
15.4	inner
15.5	inner
16	inner
17.2	inner
16.7	inner
16.8	inner
16	inner
16	inner
16	inner
16	inner
15.3	inner
16.7	inner
16.3	inner
16.9	inner
16.8	inner
15.1	inner
16.3	inner
16.3	inner
15.8	inner
16.8	inner
16.3	inner
16.2	inner
17	inner
17	inner
17.5	inner
16.3	inner
15.1	inner
16.2	inner
15.6	inner
15.8	inner
16.9	inner
16.4	inner
16.7	inner
15.2	inner
15.3	inner
15.7	inner
15.1	inner
15.1	inner
16.5	inner
16.7	inner
15.6	inner
17.1	inner
17.1	inner
15	inner
17.2	inner
15.2	inner
16.3	inner
16.9	inner
16.8	inner
16.8	inner
17.5	inner
16.2	inner
17.4	inner
15.5	inner
17	inner
17.5	inner
16.7	inner
16.7	inner
16.3	inner
17.3	inner
16.7	inner
16	inner
16.6	inner
16.8	inner
15.3	inner
15.5	inner
16	inner
15.4	inner
17	inner
15.6	inner
16	inner
15.6	inner
16.1	inner
15.8	inner
16.5	inner
17.1	inner
17.3	inner
16.3	inner
15.2	inner
15.8	inner
17.3	inner
15.2	inner
16.3	inner
17	inner
16.6	inner
17.3	inner
15.9	inner
16.2	inner
15.3	inner
17.3	inner
16.8	inner
17.3	inner
15.5	inner
17.4	inner
15.8	inner
16.3	inner
16.4	inner
16.3	inner
15	inner
17.2	inner
17.4	inner
15.3	inner
16.9	inner
16.7	inner
15.6	inner
16.8	inner
15.6	inner
15.5	inner
15.6	inner
16.7	inner
17	inner
15	inner
16.6	inner
15.4	inner
15.8	inner
15.1	inner
15.9	inner
15.4	inner
15.9	inner
15.2	inner
15.3	inner
15.7	inner
17.5	inner
19.4	inner
19.9	inner
17.9	inner
19.1	inner
18.2	inner
19	inner
18.5	inner
19.4	inner
18.4	inner
18.8	inner
19.2	inner
18.7	inner
19.3	inner
17.5	inner
19.9	inner
19.7	inner
19	inner
18.5	inner
18.4	inner
19.1	inner
19.4	inner
19.2	inner
19.4	inner
19.8	inner
18.8	inner
18	inner
19.7	inner
19.8	inner
18.4	inner
18.2	inner
17.6	inner
19.5	inner
18.4	inner
19.5	inner
19.9	inner
19.1	inner
17.9	inner
18.3	inner
19.7	inner
19.6	inner
19.3	inner
17.5	inner
19.2	inner
18.5	inner
19.9	inner
18.1	inner
19.9	inner
19.9	inner
19.2	inner
18.2	inner
17.8	inner
18.1	inner
18.9	inner
18.3	inner
17.6	inner
19.7	inner
18.5	inner
18	inner
19.8	inner
18.8	inner
17.5	inner
19.3	inner
17.9	inner
17.7	inner
18.3	inner
17.9	inner
19.9	inner
18.3	inner
19.4	inner
18.8	inner
19.1	inner
19.8	inner
17.9	inner
18.4	inner
18.4	inner
18	inner
18.8	inner
18.5	inner
17.8	inner
17.7	inner
18.3	inner
19.5	inner
17.8	inner
18.9	inner
18.9	inner
17.8	inner
19.7	inner
19.2	inner
19.6	inner
19.3	inner
19.1	inner
19.5	inner
19.4	inner
19.3	inner
18.3	inner
19.5	inner
17.9	inner
18	inner
18.6	inner
19.7	inner
17.7	inner
18	inner
18.9	inner
18.2	inner
18.9	inner
19.2	inner
18.2	inner
17.5	inner
18.7	inner
18.4	inner
18	inner
18	inner
18.5	inner
18.2	inner
17.9	inner
17.5	inner
18.4	inner
19	inner
19.9	inner
19.5	inner
19.5	inner
17.8	inner
18.1	inner
17.6	inner
18	inner
18.9	inner
18.5	inner
19.3	inner
19.6	inner
17.9	inner
18.2	inner
17.8	inner
19.8	inner
17.5	inner
18.4	inner
18.6	inner
19.8	inner
17.6	inner
17.9	inner
18.6	inner
18.7	inner
19.4	inner
19.8	inner
19.6	inner
17.5	inner
18.9	inner
19.3	inner
18.7	inner
19.9	inner
18.4	inner
18.1	inner
17.8	inner
19.1	inner
18.9	inner
19.7	inner
17.9	inner
18.7	inner
19.5	inner
17.9	inner
17.8	inner
17.6	inner
18.7	inner
19.6	inner
19.3	inner
19.4	inner
17.9	inner
18.8	inner
17.6	inner
19.9	inner
18.3	inner
19.9	inner
18.9	inner
18.6	inner
18	inner
18.3	inner
20	inner
19.5	inner
19.6	inner
17.8	inner
18.1	inner
18.3	inner
18.2	inner
18.7	inner
19.4	inner
18.8	inner
18.8	inner
18.7	inner
19.9	inner
19.1	inner
18.3	inner
17.6	inner
19.4	inner
19.4	inner
19.3	inner
19	inner
19.7	inner
18.8	inner
19.5	inner
18.9	inner
19.4	inner
17.6	inner
18.3	inner
19	inner
17.6	inner
19.6	inner
18.6	inner
18.9	inner
18	inner
19.2	inner
17.9	inner
20	inner
19.5	inner
18.9	inner
19.5	inner
17.6	inner
18.7	inner
17.9	inner
17.6	inner
18.2	inner
19.4	inner
18.3	inner
18.4	inner
18.4	inner
17.6	inner
17.6	inner
18.3	inner
17.8	inner
18.5	inner
19.9	inner
19.3	inner
21.7	inner
20.7	inner
22.5	inner
20.6	inner
22.2	inner
20.7	inner
22.2	inner
22.3	inner
22	inner
20.2	inner
21.2	inner
21.8	inner
20.1	inner
22.3	inner
21.9	inner
21.4	inner
21.3	inner
21	inner
22.3	inner
20.1	inner
20.6	inner
20.1	inner
21.8	inner
20.2	inner
22.3	inner
20.1	inner
20	inner
21.9	inner
20.5	inner
20.4	inner
20.5	inner
20.9	inner
22	inner
21.8	inner
22	inner
22.4	inner
21.1	inner
20.4	inner
21.5	inner
20.6	inner
20.6	inner
22.2	inner
20.4	inner
20.6	inner
20.7	inner
20.2	inner
21.5	inner
21.4	inner
21.6	inner
21.3	inner
21.3	inner
21.1	inner
22.3	inner
21.4	inner
21.4	inner
20.5	inner
21.5	inner
21.7	inner
20.9	inner
20.9	inner
21.2	inner
21.8	inner
21.6	inner
20.4	inner
21.1	inner
20.9	inner
22.1	inner
21	inner
21.3	inner
20.3	inner
21.4	inner
20.8	inner
20.3	inner
20.8	inner
21.4	inner
21.9	inner
20.5	inner
22.9	inner
23.6	inner
24.4	inner
22.6	inner
24.3	inner
22.9	inner
23.4	inner
23	inner
24.7	inner
24.8	inner
23.6	inner
24	inner
24.5	inner
23.6	inner
24.8	inner
24.3	inner
22.6	inner
24.1	inner
22.6	inner
24.2	inner
24.8	inner
23.9	inner
27.1	inner
26.1	inner
25.6	inner
27.2	inner
26.8	inner
25.6	inner
26.2	inner
25.4	inner
25.4	inner
27	inner
25.9	inner
6.4	outer
6.3	outer
6.4	outer
5.8	outer
5.1	outer
7.2	outer
7	outer
5.1	outer
8.9	outer
8.1	outer
10	outer
9.4	outer
9.6	outer
9.4	outer
8	outer
8.8	outer
8.9	outer
9.9	outer
9.8	outer
8.1	outer
8.2	outer
8.5	outer
8.5	outer
8.7	outer
8.9	outer
8.8	outer
8.4	outer
8.8	outer
9.5	outer
7.7	outer
8.3	outer
7.8	outer
9.7	outer
7.6	outer
8.7	outer
7.7	outer
8.5	outer
7.9	outer
9.9	outer
9.2	outer
8	outer
9	outer
8.9	outer
8.1	outer
7.7	outer
7.6	outer
9.6	outer
9.3	outer
8.1	outer
9.8	outer
8.4	outer
9.3	outer
8.4	outer
8.2	outer
8.2	outer
8.9	outer
9	outer
7.5	outer
7.9	outer
8.5	outer
10.7	outer
10.5	outer
10.3	outer
11.6	outer
11.1	outer
11	outer
12.2	outer
11.9	outer
11.5	outer
12.3	outer
12.2	outer
12.5	outer
11.4	outer
10.7	outer
10.4	outer
12	outer
11.6	outer
11	outer
11.3	outer
10.3	outer
11.7	outer
10.6	outer
10.2	outer
10.7	outer
10.5	outer
11.8	outer
12.2	outer
12	outer
10.5	outer
10	outer
10.5	outer
11.8	outer
11.8	outer
10.8	outer
11	outer
12	outer
11.7	outer
10.3	outer
12.2	outer
10.1	outer
11.7	outer
10.5	outer
10.3	outer
12.3	outer
10.4	outer
12.4	outer
12.2	outer
11.8	outer
12.3	outer
10.9	outer
11.9	outer
10.2	outer
11.1	outer
12.2	outer
11.4	outer
11.1	outer
12	outer
10.6	outer
10.6	outer
11	outer
11.2	outer
11.6	outer
11.4	outer
11.4	outer
11	outer
10.6	outer
11	outer
11.2	outer
10.7	outer
11.7	outer
11.6	outer
12.1	outer
11.1	outer
10.5	outer
10.2	outer
12.3	outer
11.1	outer
11.4	outer
12.3	outer
10.7	outer
12.2	outer
11.7	outer
12.5	outer
12.2	outer
11.5	outer
11.3	outer
14.2	outer
14.3	outer
12.8	outer
12.6	outer
13.7	outer
12.6	outer
13	outer
13.6	outer
14.1	outer
12.8	outer
13.2	outer
14.6	outer
14.4	outer
13.6	outer
13.5	outer
13.2	outer
14.1	outer
13.7	outer
13.9	outer
13	outer
14.9	outer
13.9	outer
14.5	outer
14.1	outer
14.9	outer
13.6	outer
14.6	outer
12.8	outer
13.4	outer
14.7	outer
14	outer
13.1	outer
12.7	outer
13.7	outer
13.5	outer
13.9	outer
13.1	outer
13.6	outer
13	outer
13.2	outer
12.7	outer
13	outer
13.9	outer
15.6	outer
15.5	outer
16.1	outer
15.8	outer
15.7	outer
16.9	outer
16	outer
15.5	outer
16.6	outer
16.1	outer
16.1	outer
15.1	outer
15.5	outer
16.7	outer
17	outer
17.3	outer
17.1	outer
17.2	outer
15.2	outer
15.8	outer
16.6	outer
16.5	outer
17.3	outer
17.1	outer
15.4	outer
17	outer
16.2	outer
16.5	outer
16.4	outer
17.2	outer
16.4	outer
15.6	outer
15.3	outer
16.4	outer
15.5	outer
15.8	outer
16.1	outer
15.1	outer
16.4	outer
15.4	outer
15.8	outer
16.4	outer
16	outer
15.5	outer
15.6	outer
16.1	outer
15.2	outer
16.1	outer
16	outer
15.6	outer
16.9	outer
15.3	outer
15.7	outer
17.5	outer
17.3	outer
16.9	outer
17	outer
17.4	outer
17.3	outer
16	outer
15.9	outer
15.6	outer
15.3	outer
17.3	outer
16.4	outer
15.3	outer
16.7	outer
15.1	outer
15.7	outer
15.1	outer
16.3	outer
15.4	outer
16.6	outer
16.8	outer
17	outer
15.3	outer
16.1	outer
17.5	outer
17.1	outer
15.2	outer
16.5	outer
17.1	outer
17.1	outer
16.8	outer
16.6	outer
15.5	outer
15.6	outer
15.9	outer
17.2	outer
16.3	outer
15.8	outer
17.2	outer
17.2	outer
16.1	outer
17.4	outer
15.7	outer
15.5	outer
15.6	outer
17.1	outer
16.3	outer
16.5	outer
15.3	outer
17.1	outer
17.2	outer
16.8	outer
16.3	outer
15.8	outer
16.4	outer
15.7	outer
16.4	outer
15.9	outer
15.1	outer
16	outer
17.2	outer
15.1	outer
16.7	outer
16.5	outer
15.2	outer
15.7	outer
16.2	outer
16.2	outer
15.7	outer
15.2	outer
17.4	outer
17.1	outer
17.1	outer
16.1	outer
16.4	outer
16.6	outer
17.3	outer
16.7	outer
16.3	outer
16.2	outer
15.4	outer
17	outer
16.6	outer
16.2	outer
15.2	outer
15.8	outer
16.4	outer
15.2	outer
16.7	outer
15.8	outer
15	outer
15.8	outer
15.7	outer
16.6	outer
16.3	outer
17.4	outer
15.4	outer
15.4	outer
17.2	outer
15.5	outer
15.7	outer
16.2	outer
16.6	outer
17.3	outer
17.4	outer
16.9	outer
15.2	outer
15.4	outer
16	outer
16.9	outer
15.8	outer
16.5	outer
15.4	outer
16.4	outer
16.4	outer
16.9	outer
16.5	outer
15.9	outer
17.1	outer
16.1	outer
19.8	outer
19.2	outer
18.5	outer
18.9	outer
19.5	outer
18.5	outer
18.1	outer
19.7	outer
19.1	outer
19.5	outer
17.9	outer
19.2	outer
18.5	outer
18.8	outer
17.8	outer
18.8	outer
19.8	outer
18.9	outer
20	outer
19.2	outer
19.3	outer
18.1	outer
19.2	outer
17.6	outer
17.6	outer
19.4	outer
19.5	outer
17.6	outer
18.7	outer
18	outer
18.9	outer
18	outer
19.9	outer
19.4	outer
19.5	outer
19	outer
17.7	outer
18.9	outer
19.2	outer
19.6	outer
18	outer
19	outer
18.3	outer
19.6	outer
18.9	outer
18.5	outer
18.3	outer
18.5	outer
17.8	outer
18.8	outer
18.4	outer
18.4	outer
18.3	outer
18.3	outer
19	outer
19.8	outer
18.6	outer
19.9	outer
17.9	outer
19.3	outer
18.1	outer
19.3	outer
19	outer
17.7	outer
18.6	outer
17.9	outer
17.7	outer
18	outer
18.1	outer
20	outer
19.8	outer
18.4	outer
18	outer
18.1	outer
19.6	outer
19.7	outer
19	outer
17.7	outer
17.6	outer
18.7	outer
19	outer
18.2	outer
18.8	outer
18.8	outer
17.8	outer
17.7	outer
18.5	outer
20	outer
18.4	outer
18	outer
17.8	outer
19.6	outer
18.5	outer
19.1	outer
19.1	outer
17.5	outer
19.3	outer
18.1	outer
17.8	outer
18.9	outer
19.3	outer
19.8	outer
19.4	outer
18.4	outer
19	outer
18.6	outer
18.4	outer
17.8	outer
18.4	outer
19.5	outer
18.9	outer
19.6	outer
19.8	outer
19.2	outer
17.8	outer
18.7	outer
17.7	outer
19.9	outer
18	outer
19.4	outer
19.5	outer
18.5	outer
19.3	outer
19.4	outer
19.4	outer
17.8	outer
17.8	outer
18.9	outer
17.6	outer
17.9	outer
19	outer
19.6	outer
18	outer
17.9	outer
17.8	outer
19.2	outer
19.4	outer
18	outer
18.1	outer
18.4	outer
18	outer
19.7	outer
17.7	outer
19.7	outer
19.3	outer
19	outer
17.9	outer
19.7	outer
18.1	outer
18.5	outer
18.9	outer
19.9	outer
19.6	outer
17.7	outer
18.9	outer
18.3	outer
18.1	outer
19.7	outer
18.7	outer
19	outer
19.7	outer
19.8	outer
18.7	outer
17.9	outer
17.8	outer
17.7	outer
17.5	outer
17.8	outer
19.7	outer
18	outer
19.2	outer
19.9	outer
18.6	outer
18.3	outer
17.9	outer
19.5	outer
19.4	outer
19.8	outer
18.8	outer
19.4	outer
19.7	outer
19	outer
18.9	outer
19.2	outer
18.4	outer
18.3	outer
18.1	outer
20	outer
19.4	outer
18.1	outer
18.7	outer
18	outer
19.3	outer
19.1	outer
17.9	outer
18.8	outer
19.5	outer
17.9	outer
19.2	outer
19	outer
17.9	outer
18.3	outer
19.9	outer
19.5	outer
17.7	outer
18	outer
18.2	outer
17.8	outer
19.8	outer
19.2	outer
19.3	outer
17.7	outer
19.6	outer
18.8	outer
19.3	outer
19.7	outer
20	outer
19.2	outer
18.7	outer
18.7	outer
17.6	outer
18.5	outer
18.9	outer
17.9	outer
19.4	outer
19.1	outer
17.5	outer
19.2	outer
19.4	outer
19.7	outer
18.7	outer
19	outer
19.5	outer
18.2	outer
19.9	outer
18.6	outer
19.4	outer
17.5	outer
18.2	outer
19.8	outer
19.5	outer
17.8	outer
19	outer
17.6	outer
17.9	outer
19.5	outer
17.5	outer
19.4	outer
19.4	outer
18.8	outer
19	outer
18.4	outer
18.5	outer
19.4	outer
18.3	outer
19	outer
18	outer
17.9	outer
19.4	outer
17.7	outer
20.5	outer
20.9	outer
21.1	outer
21.6	outer
21	outer
20.4	outer
20.3	outer
22.1	outer
21	outer
20.1	outer
22	outer
21.8	outer
22	outer
20.9	outer
21.3	outer
20.9	outer
20.6	outer
20.7	outer
20.3	outer
22	outer
21.8	outer
22.1	outer
22	outer
21.5	outer
21.1	outer
21.8	outer
21.2	outer
22.1	outer
21.7	outer
20.4	outer
20	outer
21.9	outer
22.5	outer
20.4	outer
21.3	outer
21.5	outer
20.3	outer
21.9	outer
20.2	outer
21.8	outer
22.1	outer
20.1	outer
21.1	outer
20.8	outer
22.3	outer
21.7	outer
22.5	outer
20.6	outer
21.3	outer
21.8	outer
20.4	outer
21.3	outer
21.5	outer
20.4	outer
21.3	outer
22	outer
21.1	outer
22	outer
20.3	outer
21.5	outer
21.3	outer
20	outer
21.5	outer
22.2	outer
22.2	outer
22.1	outer
21.3	outer
21.1	outer
22.2	outer
21.8	outer
22.3	outer
21	outer
21.7	outer
20.5	outer
21	outer
21.7	outer
20.5	outer
20.9	outer
20.8	outer
20.9	outer
21.5	outer
21.5	outer
21.1	outer
20.3	outer
20.6	outer
21.3	outer
22.2	outer
20.3	outer
20.1	outer
20.2	outer
20.1	outer
20	outer
21.7	outer
20	outer
21.6	outer
20.2	outer
21.6	outer
20.2	outer
22.1	outer
22.1	outer
20.7	outer
21.4	outer
22.2	outer
22.2	outer
24.8	outer
24.7	outer
24.9	outer
23.2	outer
24.3	outer
22.7	outer
23.8	outer
23.8	outer
23.2	outer
25	outer
24.4	outer
23.5	outer
22.5	outer
22.8	outer
24.4	outer
23.6	outer
23	outer
24.1	outer
23.2	outer
23.1	outer
23.8	outer
24.6	outer
24.9	outer
23.3	outer
23.8	outer
23.5	outer
23.5	outer
25	outer
23.7	outer
22.5	outer
24.2	outer
23.3	outer
24.3	outer
23.3	outer
23.8	outer
23.5	outer
24.7	outer
24.4	outer
24.2	outer
22.6	outer
24.6	outer
24.8	outer
24.3	outer
23.4	outer
24.9	outer
23.3	outer
24.4	outer
24.1	outer
23.6	outer
23.7	outer
24.2	outer
24	outer
23.8	outer
24.2	outer
22.8	outer
23.5	outer
24.8	outer
22.6	outer
23.3	outer
24	outer
25.6	outer
26.3	outer
26.3	outer
27.3	outer
25.7	outer
25.3	outer
27.3	outer
25.9	outer
27.1	outer
26.3	outer
25.4	outer
26.4	outer
26.4	outer
26.2	outer
25	outer
25.9	outer
26.6	outer
27.5	outer
26.6	outer
25.4	outer
26.7	outer
26.1	outer
27.3	outer
25.7	outer
26.5	outer
27	outer
25.2	outer
25.9	outer
26.6	outer
26.6	outer
25.6	outer
25.8	outer
26.1	outer
27.2	outer
27.3	outer
27.1	outer
27.3	outer
26.4	outer
26.4	outer
26.6	outer
25.1	outer
25.3	outer
27	outer
26.7	outer
26	outer
25.4	outer
25.3	outer
25.3	outer
25.4	outer
26	outer
25.2	outer
25.2	outer
29.8	outer
28.2	outer
29.7	outer
28.4	outer
29.2	outer
29.5	outer
27.6	outer
27.7	outer
28.2	outer
29.3	outer
28.9	outer
28	outer
28.3	outer
28.3	outer
