fish,yearcap,ce,agecap,lencap,inc1,inc2,inc3,inc4,inc5,inc6,inc7,radcap
1822,1990,C,1,247,1.3441,1.3539,NA,NA,NA,NA,NA,2.698
1823,1990,C,1,283,1.6134,1.8475,NA,NA,NA,NA,NA,3.4609
1824,1990,C,1,295,1.499,1.6819,NA,NA,NA,NA,NA,3.1809
1825,1990,C,1,282,1.5493,1.9743,NA,NA,NA,NA,NA,3.5236
1766,1990,E,1,302,1.7591,1.871,NA,NA,NA,NA,NA,3.6301
1767,1990,E,1,305,1.6419,1.7254,NA,NA,NA,NA,NA,3.3673
1768,1990,E,1,295,1.4526,1.6997,NA,NA,NA,NA,NA,3.1523
1769,1990,E,1,295,1.6352,1.4793,NA,NA,NA,NA,NA,3.1145
1770,1990,E,1,300,1.7467,1.7953,NA,NA,NA,NA,NA,3.542
1771,1990,E,1,287,1.4646,1.7322,NA,NA,NA,NA,NA,3.1968
1772,1990,E,1,290,1.6751,1.7805,NA,NA,NA,NA,NA,3.4556
1773,1990,E,1,280,1.3569,1.5052,NA,NA,NA,NA,NA,2.8621
1774,1990,E,1,275,1.2937,1.6817,NA,NA,NA,NA,NA,2.9754
1775,1990,E,1,261,1.364,1.5436,NA,NA,NA,NA,NA,2.9076
1776,1990,E,1,265,1.3455,1.6901,NA,NA,NA,NA,NA,3.0356
1777,1990,E,1,260,1.5673,1.482,NA,NA,NA,NA,NA,3.0493
1778,1990,E,1,252,1.2461,1.387,NA,NA,NA,NA,NA,2.6331
1779,1990,E,1,247,1.4539,1.329,NA,NA,NA,NA,NA,2.7829
1780,1990,E,1,250,1.361,1.3731,NA,NA,NA,NA,NA,2.7341
1781,1990,E,1,240,1.0489,1.3609,NA,NA,NA,NA,NA,2.4098
1782,1990,E,1,260,1.3305,1.3815,NA,NA,NA,NA,NA,2.712
150,1991,C,1,215,1.2288,0.756,NA,NA,NA,NA,NA,1.9848
151,1991,C,1,172,1.6468,0.1478,NA,NA,NA,NA,NA,1.7946
152,1991,C,1,172,1.6063,0.0522,NA,NA,NA,NA,NA,1.6585
153,1991,C,1,184,1.7333,0.1294,NA,NA,NA,NA,NA,1.8627
154,1991,C,1,184,1.7261,0.12,NA,NA,NA,NA,NA,1.8461
256,1991,E,1,361,1.54,1.5009,NA,NA,NA,NA,NA,3.0409
265,1991,E,1,327,1.8227,1.1057,NA,NA,NA,NA,NA,2.9284
266,1991,E,1,327,1.8279,1.0491,NA,NA,NA,NA,NA,2.877
269,1991,E,1,321,1.9344,1.7482,NA,NA,NA,NA,NA,3.6826
273,1991,E,1,304,1.8244,1.8975,NA,NA,NA,NA,NA,3.7219
275,1991,E,1,297,1.9362,1.7408,NA,NA,NA,NA,NA,3.677
276,1991,E,1,295,1.7246,1.7779,NA,NA,NA,NA,NA,3.5025
277,1991,E,1,290,1.8071,1.4614,NA,NA,NA,NA,NA,3.2685
278,1991,E,1,281,1.523,1.5929,NA,NA,NA,NA,NA,3.1159
280,1991,E,1,283,1.9452,1.7068,NA,NA,NA,NA,NA,3.652
281,1991,E,1,271,1.5953,1.8064,NA,NA,NA,NA,NA,3.4017
282,1991,E,1,275,1.8553,1.8921,NA,NA,NA,NA,NA,3.7474
283,1991,E,1,275,1.7015,1.7348,NA,NA,NA,NA,NA,3.4363
284,1991,E,1,268,1.9063,1.9454,NA,NA,NA,NA,NA,3.8517
285,1991,E,1,269,1.8937,2.1151,NA,NA,NA,NA,NA,4.0088
286,1991,E,1,263,1.5295,1.6792,NA,NA,NA,NA,NA,3.2087
287,1991,E,1,264,1.8157,1.6329,NA,NA,NA,NA,NA,3.4486
288,1991,E,1,254,1.5104,1.7601,NA,NA,NA,NA,NA,3.2705
289,1991,E,1,257,1.839,1.6929,NA,NA,NA,NA,NA,3.5319
290,1991,E,1,255,1.8035,1.5903,NA,NA,NA,NA,NA,3.3938
291,1991,E,1,250,1.5802,1.6831,NA,NA,NA,NA,NA,3.2633
292,1991,E,1,238,1.4079,1.579,NA,NA,NA,NA,NA,2.9869
293,1991,E,1,225,1.6514,1.2404,NA,NA,NA,NA,NA,2.8918
130,1992,E,1,251,2.0732,1.3635,NA,NA,NA,NA,NA,3.4367
131,1992,E,1,251,2.0481,1.2941,NA,NA,NA,NA,NA,3.3422
132,1992,E,1,230,1.7101,1.117,NA,NA,NA,NA,NA,2.8271
133,1992,E,1,230,1.9308,1.0602,NA,NA,NA,NA,NA,2.991
134,1992,E,1,260,2.0957,1.22,NA,NA,NA,NA,NA,3.3157
135,1992,E,1,260,2.098,1.211,NA,NA,NA,NA,NA,3.309
136,1992,E,1,260,2.0605,1.0765,NA,NA,NA,NA,NA,3.137
137,1992,E,1,260,1.9106,1.0755,NA,NA,NA,NA,NA,2.9861
138,1992,E,1,271,2.3814,1.26,NA,NA,NA,NA,NA,3.6414
139,1992,E,1,271,2.5239,1.1671,NA,NA,NA,NA,NA,3.691
140,1992,E,1,260,1.8965,1.3206,NA,NA,NA,NA,NA,3.2171
141,1992,E,1,260,1.9846,1.3168,NA,NA,NA,NA,NA,3.3014
142,1992,E,1,249,1.9282,1.3019,NA,NA,NA,NA,NA,3.2301
143,1992,E,1,230,1.3178,1.674,NA,NA,NA,NA,NA,2.9918
144,1992,E,1,230,1.2852,1.5513,NA,NA,NA,NA,NA,2.8365
145,1992,E,1,260,2.0593,1.1944,NA,NA,NA,NA,NA,3.2537
146,1992,E,1,260,2.0388,1.2087,NA,NA,NA,NA,NA,3.2475
147,1992,E,1,250,2.0712,1.1721,NA,NA,NA,NA,NA,3.2433
148,1992,E,1,250,2.1327,1.1693,NA,NA,NA,NA,NA,3.302
149,1992,E,1,250,2.0529,1.075,NA,NA,NA,NA,NA,3.1279
1678,1993,E,1,250,1.3827,1.7194,NA,NA,NA,NA,NA,3.1021
1681,1993,E,1,282,1.7043,1.9996,NA,NA,NA,NA,NA,3.7039
1683,1993,E,1,200,0.9199,1.3304,NA,NA,NA,NA,NA,2.2503
1689,1993,E,1,215,1.0144,1.5157,NA,NA,NA,NA,NA,2.5301
1443,1955,C,2,279,1.0731,1.3894,0.7574,NA,NA,NA,NA,3.2199
1361,1957,C,2,279,1.3647,1.2883,0.7711,NA,NA,NA,NA,3.4241
1177,1961,C,2,312,1.3345,1.6251,0.6313,NA,NA,NA,NA,3.5909
1203,1961,C,2,305,1.1333,1.4475,0.7816,NA,NA,NA,NA,3.3624
1205,1961,C,2,277,1.2437,1.2118,0.6708,NA,NA,NA,NA,3.1263
1137,1962,C,2,292,1.1805,1.6098,0.3659,NA,NA,NA,NA,3.1562
1147,1962,C,2,272,1.495,1.2277,0.4509,NA,NA,NA,NA,3.1736
1148,1962,C,2,300,1.5312,2.0618,0.4757,NA,NA,NA,NA,4.0687
1154,1962,C,2,292,1.1837,1.489,0.7468,NA,NA,NA,NA,3.4195
1155,1962,C,2,287,1.2208,1.4191,0.4953,NA,NA,NA,NA,3.1352
1156,1962,C,2,262,1.2987,1.8003,0.2183,NA,NA,NA,NA,3.3173
1161,1962,C,2,297,1.4811,1.6126,0.2783,NA,NA,NA,NA,3.372
1163,1962,C,2,284,1.524,1.5124,0.3233,NA,NA,NA,NA,3.3597
1166,1962,C,2,277,1.2939,1.462,0.2197,NA,NA,NA,NA,2.9756
1167,1962,C,2,274,1.0569,1.3889,0.4782,NA,NA,NA,NA,2.924
1170,1962,C,2,300,1.3978,2.1763,0.2074,NA,NA,NA,NA,3.7815
1073,1964,C,2,262,1.1505,1.1392,1.0383,NA,NA,NA,NA,3.328
1096,1964,C,2,262,1.092,0.9343,0.8712,NA,NA,NA,NA,2.8975
686,1979,E,2,259,1.2447,1.4915,0.0107,NA,NA,NA,NA,2.7469
687,1979,E,2,274,0.8793,0.9024,0.022,NA,NA,NA,NA,1.8037
690,1979,E,2,264,1.0852,1.579,0.0059,NA,NA,NA,NA,2.6701
714,1979,E,2,267,1.4354,1.3841,0.0626,NA,NA,NA,NA,2.8821
715,1979,E,2,274,1.0682,1.2652,0.061,NA,NA,NA,NA,2.3944
654,1980,E,2,268,0.661,0.972,0.3264,NA,NA,NA,NA,1.9594
655,1980,E,2,282,0.6163,1.1082,0.3354,NA,NA,NA,NA,2.0599
656,1980,E,2,279,1.0024,1.4352,0.4845,NA,NA,NA,NA,2.9221
657,1980,E,2,290,1.4263,2.0154,0.5032,NA,NA,NA,NA,3.9449
658,1980,E,2,300,0.7971,1.1045,0.2546,NA,NA,NA,NA,2.1562
659,1980,E,2,292,1.154,1.7208,0.705,NA,NA,NA,NA,3.5798
660,1980,E,2,295,0.9151,1.3695,0.4432,NA,NA,NA,NA,2.7278
661,1980,E,2,292,1.207,1.7056,0.421,NA,NA,NA,NA,3.3336
662,1980,E,2,297,0.9515,1.6801,0.5672,NA,NA,NA,NA,3.1988
663,1980,E,2,305,0.749,1.0407,0.2451,NA,NA,NA,NA,2.0348
664,1980,E,2,305,1.0805,1.401,0.4749,NA,NA,NA,NA,2.9564
665,1980,E,2,305,1.1089,1.396,0.3946,NA,NA,NA,NA,2.8995
666,1980,E,2,312,1.2255,1.7287,0.4805,NA,NA,NA,NA,3.4347
667,1980,E,2,310,1.1067,1.6008,0.6362,NA,NA,NA,NA,3.3437
668,1980,E,2,307,0.9764,1.4201,0.4864,NA,NA,NA,NA,2.8829
670,1980,E,2,256,1.4414,1.5877,0.4613,NA,NA,NA,NA,3.4904
671,1980,E,2,282,1.4158,1.6769,0.527,NA,NA,NA,NA,3.6197
672,1980,E,2,285,0.852,1.4334,0.4233,NA,NA,NA,NA,2.7087
674,1980,E,2,318,1.5016,1.6623,0.6322,NA,NA,NA,NA,3.7961
675,1980,E,2,325,1.0839,1.1452,0.3205,NA,NA,NA,NA,2.5496
676,1980,E,2,295,1.0901,1.6244,0.5661,NA,NA,NA,NA,3.2806
677,1980,E,2,305,1.218,1.6181,0.5152,NA,NA,NA,NA,3.3513
678,1980,E,2,325,1.1465,1.2326,0.4019,NA,NA,NA,NA,2.781
596,1985,E,2,302,1.1352,1.5302,0.6955,NA,NA,NA,NA,3.3609
599,1985,E,2,320,1.5566,1.9201,1.0206,NA,NA,NA,NA,4.4973
607,1985,E,2,315,1.1835,1.6699,0.9643,NA,NA,NA,NA,3.8177
541,1986,E,2,323,1.0506,1.3001,1.0519,NA,NA,NA,NA,3.4026
547,1986,E,2,323,0.8978,1.2038,0.851,NA,NA,NA,NA,2.9526
552,1986,E,2,285,0.8212,1.0407,0.5779,NA,NA,NA,NA,2.4398
553,1986,E,2,302,1.1467,1.0938,0.889,NA,NA,NA,NA,3.1295
554,1986,E,2,356,1.3199,1.3669,0.8395,NA,NA,NA,NA,3.5263
555,1986,E,2,333,1.0464,0.833,0.8459,NA,NA,NA,NA,2.7253
557,1986,E,2,318,0.9259,1.3697,1.2036,NA,NA,NA,NA,3.4992
558,1986,E,2,333,1.1362,1.4202,1.1251,NA,NA,NA,NA,3.6815
572,1986,E,2,356,0.7387,1.1363,0.8889,NA,NA,NA,NA,2.7639
473,1987,C,2,299,1.155,1.4993,0.8351,NA,NA,NA,NA,3.4894
478,1987,C,2,274,0.5375,1.2384,1.2463,NA,NA,NA,NA,3.0222
481,1987,C,2,258,0.6244,1.4073,1.1198,NA,NA,NA,NA,3.1515
485,1987,C,2,267,0.6125,1.5314,1.0621,NA,NA,NA,NA,3.206
487,1987,C,2,245,0.9069,1.4126,0.1048,NA,NA,NA,NA,2.4243
488,1987,C,2,280,0.9272,1.4667,0.7937,NA,NA,NA,NA,3.1876
489,1987,C,2,299,0.9225,1.7455,1.2655,NA,NA,NA,NA,3.9335
493,1987,C,2,300,0.9198,1.578,1.0446,NA,NA,NA,NA,3.5424
497,1987,C,2,294,0.6715,1.696,1.4183,NA,NA,NA,NA,3.7858
501,1987,C,2,340,1.2633,1.5388,1.3147,NA,NA,NA,NA,4.1168
502,1987,C,2,294,0.4697,1.6345,1.5972,NA,NA,NA,NA,3.7014
504,1987,C,2,291,0.6183,1.6587,1.7285,NA,NA,NA,NA,4.0055
505,1987,C,2,340,1.4016,1.5789,1.2831,NA,NA,NA,NA,4.2636
507,1987,E,2,307,0.8252,1.4352,1.2584,NA,NA,NA,NA,3.5188
508,1987,E,2,332,1.0688,1.3842,0.9755,NA,NA,NA,NA,3.4285
510,1987,E,2,305,0.4565,1.1775,1.4414,NA,NA,NA,NA,3.0754
512,1987,E,2,263,0.4968,1.1603,1.3912,NA,NA,NA,NA,3.0483
513,1987,E,2,314,0.5888,1.5271,1.4473,NA,NA,NA,NA,3.5632
514,1987,E,2,261,0.9498,1.5416,1.0358,NA,NA,NA,NA,3.5272
516,1987,E,2,355,0.8129,1.5851,1.1622,NA,NA,NA,NA,3.5602
517,1987,E,2,363,1.0725,1.7373,1.103,NA,NA,NA,NA,3.9128
518,1987,E,2,312,0.9368,2.079,1.2832,NA,NA,NA,NA,4.299
519,1987,E,2,280,1.1229,1.4516,0.9079,NA,NA,NA,NA,3.4824
520,1987,E,2,329,1.1776,1.2884,0.9781,NA,NA,NA,NA,3.4441
521,1987,E,2,367,0.9889,1.4829,0.9808,NA,NA,NA,NA,3.4526
522,1987,E,2,308,0.9808,1.7266,1.165,NA,NA,NA,NA,3.8724
527,1987,E,2,289,0.3922,0.5791,1.9344,NA,NA,NA,NA,2.9057
528,1987,E,2,288,0.9977,1.5147,0.9347,NA,NA,NA,NA,3.4471
531,1987,E,2,289,0.7284,1.3852,1.0111,NA,NA,NA,NA,3.1247
539,1987,E,2,335,0.6325,1.9494,1.334,NA,NA,NA,NA,3.9159
540,1987,E,2,287,1.0204,1.8849,1.186,NA,NA,NA,NA,4.0913
404,1988,C,2,257,1.167,1.5903,0.3322,NA,NA,NA,NA,3.0895
456,1988,E,2,306,1.1413,1.8642,1.2139,NA,NA,NA,NA,4.2194
1793,1990,C,2,346,1.6013,1.3266,0.9935,NA,NA,NA,NA,3.9214
155,1991,C,2,370,1.6916,1.8378,0.9948,NA,NA,NA,NA,4.5242
156,1991,C,2,370,1.4239,1.7012,0.8958,NA,NA,NA,NA,4.0209
157,1991,C,2,373,1.7164,1.9938,0.9207,NA,NA,NA,NA,4.6309
158,1991,C,2,373,1.7371,1.9291,0.7726,NA,NA,NA,NA,4.4388
159,1991,C,2,330,1.4082,2.0095,0.8686,NA,NA,NA,NA,4.2863
160,1991,C,2,330,1.6029,1.9642,0.8341,NA,NA,NA,NA,4.4012
161,1991,C,2,280,1.4581,1.5783,0.1584,NA,NA,NA,NA,3.1948
162,1991,C,2,280,1.4561,1.6796,0.1883,NA,NA,NA,NA,3.324
163,1991,C,2,355,1.9632,2.3757,0.9009,NA,NA,NA,NA,5.2398
164,1991,C,2,355,1.8338,2.2627,0.8875,NA,NA,NA,NA,4.984
165,1991,C,2,355,1.7664,2.1324,0.7665,NA,NA,NA,NA,4.6653
166,1991,C,2,355,1.8888,2.1711,0.8279,NA,NA,NA,NA,4.8878
167,1991,C,2,335,1.681,1.8641,0.7975,NA,NA,NA,NA,4.3426
168,1991,C,2,335,1.732,1.7926,0.7728,NA,NA,NA,NA,4.2974
169,1991,C,2,330,1.1889,1.8978,1.1798,NA,NA,NA,NA,4.2665
170,1991,C,2,295,1.2548,1.0081,0.0972,NA,NA,NA,NA,2.3601
171,1991,C,2,295,1.0573,1.1241,0.0983,NA,NA,NA,NA,2.2797
172,1991,C,2,287,1.5872,1.867,0.0911,NA,NA,NA,NA,3.5453
173,1991,C,2,287,1.6251,1.8435,0.054,NA,NA,NA,NA,3.5226
174,1991,C,2,360,1.8965,1.861,1.4423,NA,NA,NA,NA,5.1998
175,1991,C,2,360,1.526,1.7069,1.1381,NA,NA,NA,NA,4.371
176,1991,C,2,455,1.1744,1.521,1.0485,NA,NA,NA,NA,3.7439
177,1991,C,2,455,1.283,1.723,1.1368,NA,NA,NA,NA,4.1428
178,1991,C,2,315,1.5551,2.0727,0.7842,NA,NA,NA,NA,4.412
179,1991,C,2,315,1.6524,2.17,0.7027,NA,NA,NA,NA,4.5251
180,1991,C,2,310,1.6802,1.7063,0.9352,NA,NA,NA,NA,4.3217
181,1991,C,2,310,1.4786,1.7001,0.8916,NA,NA,NA,NA,4.0703
182,1991,C,2,285,1.0389,1.0252,0.4013,NA,NA,NA,NA,2.4654
183,1991,C,2,285,1.0534,0.9882,0.382,NA,NA,NA,NA,2.4236
184,1991,C,2,373,1.9953,2.2114,0.9839,NA,NA,NA,NA,5.1906
185,1991,C,2,373,1.8479,2.0551,0.852,NA,NA,NA,NA,4.755
186,1991,C,2,240,1.7965,1.512,0.1395,NA,NA,NA,NA,3.448
187,1991,C,2,240,1.7226,1.4796,0.1166,NA,NA,NA,NA,3.3188
188,1991,C,2,295,0.9311,1.3804,0.1566,NA,NA,NA,NA,2.4681
189,1991,C,2,295,1.1457,1.5824,0.1511,NA,NA,NA,NA,2.8792
190,1991,C,2,295,1.1132,1.4289,0.1003,NA,NA,NA,NA,2.6424
191,1991,C,2,292,1.0772,1.2967,0.196,NA,NA,NA,NA,2.5699
192,1991,C,2,310,1.5782,1.5582,0.5318,NA,NA,NA,NA,3.6682
193,1991,C,2,355,1.6469,1.9799,0.7366,NA,NA,NA,NA,4.3634
194,1991,C,2,355,1.5519,1.9972,0.7545,NA,NA,NA,NA,4.3036
195,1991,C,2,320,0.9572,1.2276,0.239,NA,NA,NA,NA,2.4238
196,1991,C,2,320,1.0676,1.2521,0.355,NA,NA,NA,NA,2.6747
197,1991,C,2,325,1.0624,1.4572,0.3471,NA,NA,NA,NA,2.8667
198,1991,C,2,303,1.4343,1.5541,0.8199,NA,NA,NA,NA,3.8083
199,1991,C,2,303,1.5059,1.5588,0.8382,NA,NA,NA,NA,3.9029
248,1991,E,2,345,1.4712,1.5942,1.26,NA,NA,NA,NA,4.3254
249,1991,E,2,355,1.4885,1.7227,1.1979,NA,NA,NA,NA,4.4091
250,1991,E,2,348,1.4636,2.0225,1.1811,NA,NA,NA,NA,4.6672
251,1991,E,2,349,1.7692,2.0154,1.062,NA,NA,NA,NA,4.8466
252,1991,E,2,386,1.7928,2.0172,1.1688,NA,NA,NA,NA,4.9788
253,1991,E,2,378,1.4354,2.0055,1.3495,NA,NA,NA,NA,4.7904
254,1991,E,2,379,1.6965,1.8578,1.2275,NA,NA,NA,NA,4.7818
255,1991,E,2,364,1.5929,1.8173,1.2875,NA,NA,NA,NA,4.6977
257,1991,E,2,368,1.9951,1.8037,1.087,NA,NA,NA,NA,4.8858
258,1991,E,2,357,1.6851,2.0894,1.2073,NA,NA,NA,NA,4.9818
259,1991,E,2,340,1.201,1.3782,1.3493,NA,NA,NA,NA,3.9285
260,1991,E,2,332,1.757,1.6923,1.1203,NA,NA,NA,NA,4.5696
261,1991,E,2,335,1.277,1.8442,1.492,NA,NA,NA,NA,4.6132
262,1991,E,2,322,1.5851,1.8292,1.0195,NA,NA,NA,NA,4.4338
263,1991,E,2,320,1.3924,1.6572,1.1773,NA,NA,NA,NA,4.2269
264,1991,E,2,320,1.1115,1.4908,1.1161,NA,NA,NA,NA,3.7184
267,1991,E,2,310,1.2477,1.2702,1.4265,NA,NA,NA,NA,3.9444
268,1991,E,2,310,1.018,0.7687,1.2963,NA,NA,NA,NA,3.083
270,1991,E,2,320,1.4062,1.5708,1.2549,NA,NA,NA,NA,4.2319
271,1991,E,2,309,1.2658,1.4716,1.2347,NA,NA,NA,NA,3.9721
272,1991,E,2,309,1.188,1.5318,1.3115,NA,NA,NA,NA,4.0313
274,1991,E,2,299,1.1646,1.6705,1.2095,NA,NA,NA,NA,4.0446
294,1991,E,2,314,1.3297,1.6335,1.016,NA,NA,NA,NA,3.9792
295,1991,E,2,330,1.4836,1.5238,1.2947,NA,NA,NA,NA,4.3021
296,1991,E,2,352,1.2423,1.7381,1.2686,NA,NA,NA,NA,4.249
297,1991,E,2,374,1.5452,1.7391,1.1011,NA,NA,NA,NA,4.3854
298,1991,E,2,387,1.7688,2.2102,1.488,NA,NA,NA,NA,5.467
299,1991,E,2,352,1.6102,2.1442,1.314,NA,NA,NA,NA,5.0684
300,1991,E,2,371,1.5984,1.9679,1.2904,NA,NA,NA,NA,4.8567
35,1992,C,2,295,1.5695,1.9878,0.1468,NA,NA,NA,NA,3.7041
36,1992,C,2,321,1.9108,1.7348,0.845,NA,NA,NA,NA,4.4906
37,1992,C,2,321,2.1132,1.7615,0.8717,NA,NA,NA,NA,4.7464
38,1992,C,2,339,1.8512,1.6862,0.7948,NA,NA,NA,NA,4.3322
39,1992,C,2,339,1.9989,2.183,0.5848,NA,NA,NA,NA,4.7667
40,1992,C,2,370,2.0429,1.89,0.7371,NA,NA,NA,NA,4.67
41,1992,C,2,356,2.0387,1.7176,0.7682,NA,NA,NA,NA,4.5245
42,1992,C,2,356,2.0222,1.6264,0.8455,NA,NA,NA,NA,4.4941
43,1992,C,2,292,1.7416,2.1033,0.2621,NA,NA,NA,NA,4.107
44,1992,C,2,292,1.7643,1.9779,0.3789,NA,NA,NA,NA,4.1211
45,1992,C,2,339,1.8137,1.7819,0.7316,NA,NA,NA,NA,4.3272
46,1992,C,2,339,1.7763,1.7181,0.6327,NA,NA,NA,NA,4.1271
47,1992,C,2,310,1.9429,1.7851,0.8003,NA,NA,NA,NA,4.5283
48,1992,C,2,310,1.9198,1.821,0.7161,NA,NA,NA,NA,4.4569
49,1992,C,2,311,2.0717,2.1285,0.1302,NA,NA,NA,NA,4.3304
50,1992,C,2,292,1.7042,1.8206,0.0885,NA,NA,NA,NA,3.6133
51,1992,C,2,292,1.8729,2.0936,0.0951,NA,NA,NA,NA,4.0616
52,1992,C,2,280,1.8006,1.8542,0.2155,NA,NA,NA,NA,3.8703
53,1992,C,2,275,1.6161,1.9038,0.271,NA,NA,NA,NA,3.7909
54,1992,C,2,346,1.941,1.6483,0.7404,NA,NA,NA,NA,4.3297
55,1992,C,2,346,2.033,1.6776,0.7715,NA,NA,NA,NA,4.4821
56,1992,C,2,295,1.774,1.9882,0.2222,NA,NA,NA,NA,3.9844
57,1992,C,2,320,1.9546,2.0022,0.3593,NA,NA,NA,NA,4.3161
58,1992,C,2,320,2.0554,2.119,0.4151,NA,NA,NA,NA,4.5895
59,1992,C,2,264,1.7178,1.8703,0.187,NA,NA,NA,NA,3.7751
60,1992,C,2,351,2.2602,2.0811,0.8869,NA,NA,NA,NA,5.2282
61,1992,C,2,344,2.2647,1.9803,0.8329,NA,NA,NA,NA,5.0779
62,1992,C,2,344,2.3665,2.0188,0.9309,NA,NA,NA,NA,5.3162
63,1992,C,2,333,1.7781,1.703,0.6693,NA,NA,NA,NA,4.1504
64,1992,C,2,333,1.5763,1.6547,0.66,NA,NA,NA,NA,3.891
73,1992,E,2,353,1.8901,2.7344,0.0124,NA,NA,NA,NA,4.6369
74,1992,E,2,353,1.7893,1.8623,0.8115,NA,NA,NA,NA,4.4631
90,1992,E,2,335,1.5529,2.3339,1.0005,NA,NA,NA,NA,4.8873
91,1992,E,2,335,1.6444,2.4008,0.9316,NA,NA,NA,NA,4.9768
92,1992,E,2,328,2.0076,1.8261,0.7756,NA,NA,NA,NA,4.6093
93,1992,E,2,328,2.0705,1.9417,0.8012,NA,NA,NA,NA,4.8134
94,1992,E,2,370,2.0548,2.153,1.0209,NA,NA,NA,NA,5.2287
95,1992,E,2,370,1.9545,2.0151,0.9299,NA,NA,NA,NA,4.8995
96,1992,E,2,340,2.0917,2.0791,0.8143,NA,NA,NA,NA,4.9851
97,1992,E,2,340,2.1084,2.1158,0.8042,NA,NA,NA,NA,5.0284
98,1992,E,2,350,1.9354,1.8195,0.685,NA,NA,NA,NA,4.4399
99,1992,E,2,350,2.0692,1.8898,0.7413,NA,NA,NA,NA,4.7003
100,1992,E,2,341,2.0037,1.8866,0.8843,NA,NA,NA,NA,4.7746
101,1992,E,2,341,1.9866,1.9754,0.9672,NA,NA,NA,NA,4.9292
102,1992,E,2,319,1.4987,1.8144,0.8406,NA,NA,NA,NA,4.1537
103,1992,E,2,319,1.5754,1.9939,0.9842,NA,NA,NA,NA,4.5535
104,1992,E,2,335,1.857,1.9005,1.0328,NA,NA,NA,NA,4.7903
105,1992,E,2,335,1.7959,1.8686,0.9659,NA,NA,NA,NA,4.6304
106,1992,E,2,320,1.4932,1.7,0.8248,NA,NA,NA,NA,4.018
107,1992,E,2,320,1.6245,1.8948,0.8648,NA,NA,NA,NA,4.3841
108,1992,E,2,336,1.5695,1.9527,0.9796,NA,NA,NA,NA,4.5018
109,1992,E,2,336,1.6021,1.9987,0.9935,NA,NA,NA,NA,4.5943
110,1992,E,2,341,1.7322,1.9419,0.8168,NA,NA,NA,NA,4.4909
111,1992,E,2,341,1.6193,2.0734,0.6823,NA,NA,NA,NA,4.375
