site,sitenum,day,month,year,sl,age,age2
Altea,9,20,3,2007,22.29,0,0.632876712
Altea,9,20,3,2007,22.46,0,0.632876712
Altea,9,20,3,2007,22.5,0,0.632876712
Altea,9,20,3,2007,22.54,0,0.632876712
Altea,9,20,3,2007,22.66,0,0.632876712
Altea,9,20,3,2007,23.09,0,0.632876712
Altea,9,20,3,2007,23.53,0,0.632876712
Altea,9,20,3,2007,23.76,0,0.632876712
Altea,9,20,3,2007,24.44,0,0.632876712
Altea,9,20,3,2007,24.51,0,0.632876712
Altea,9,20,3,2007,24.84,0,0.632876712
Altea,9,20,3,2007,25.03,0,0.632876712
Altea,9,20,3,2007,25.09,0,0.632876712
Altea,9,20,3,2007,25.37,0,0.632876712
Altea,9,20,3,2007,25.4,0,0.632876712
Altea,9,20,3,2007,25.61,0,0.632876712
Altea,9,20,3,2007,25.94,0,0.632876712
Altea,9,20,3,2007,26.05,0,0.632876712
Altea,9,20,3,2007,26.11,0,0.632876712
Altea,9,20,3,2007,26.11,0,0.632876712
Altea,9,20,3,2007,26.53,0,0.632876712
Altea,9,20,3,2007,26.54,0,0.632876712
Altea,9,20,3,2007,26.73,0,0.632876712
Altea,9,20,3,2007,26.79,0,0.632876712
Altea,9,20,3,2007,26.94,0,0.632876712
Altea,9,20,3,2007,27.06,0,0.632876712
Altea,9,20,3,2007,27.11,0,0.632876712
Altea,9,20,3,2007,27.34,0,0.632876712
Altea,9,20,3,2007,27.39,0,0.632876712
Altea,9,20,3,2007,27.39,0,0.632876712
Altea,9,20,3,2007,27.41,0,0.632876712
Altea,9,20,3,2007,27.81,0,0.632876712
Altea,9,20,3,2007,28.16,0,0.632876712
Altea,9,20,3,2007,28.46,0,0.632876712
Altea,9,20,3,2007,28.49,0,0.632876712
Altea,9,20,3,2007,28.54,0,0.632876712
Altea,9,20,3,2007,28.55,0,0.632876712
Altea,9,20,3,2007,28.59,0,0.632876712
Altea,9,20,3,2007,28.64,0,0.632876712
Altea,9,20,3,2007,28.76,0,0.632876712
Altea,9,20,3,2007,29.07,0,0.632876712
Altea,9,20,3,2007,29.3,0,0.632876712
Altea,9,20,3,2007,29.44,0,0.632876712
Altea,9,20,3,2007,29.5,0,0.632876712
Altea,9,20,3,2007,29.71,0,0.632876712
Altea,9,20,3,2007,29.74,0,0.632876712
Altea,9,20,3,2007,29.78,0,0.632876712
Altea,9,20,3,2007,29.84,0,0.632876712
Altea,9,20,3,2007,29.86,0,0.632876712
Altea,9,20,3,2007,29.9,0,0.632876712
Altea,9,20,3,2007,29.93,0,0.632876712
Altea,9,20,3,2007,29.98,0,0.632876712
Altea,9,20,3,2007,30,0,0.632876712
Altea,9,20,3,2007,30.21,0,0.632876712
Altea,9,20,3,2007,30.27,0,0.632876712
Altea,9,20,3,2007,30.29,0,0.632876712
Altea,9,20,3,2007,30.37,0,0.632876712
Altea,9,20,3,2007,30.44,0,0.632876712
Altea,9,20,3,2007,30.54,0,0.632876712
Altea,9,20,3,2007,30.58,0,0.632876712
Altea,9,20,3,2007,30.6,0,0.632876712
Altea,9,20,3,2007,30.66,0,0.632876712
Altea,9,20,3,2007,30.75,0,0.632876712
Altea,9,20,3,2007,30.93,0,0.632876712
Altea,9,20,3,2007,31.02,0,0.632876712
Altea,9,20,3,2007,31.26,0,0.632876712
Altea,9,20,3,2007,31.3,0,0.632876712
Altea,9,20,3,2007,31.36,0,0.632876712
Altea,9,20,3,2007,31.45,0,0.632876712
Altea,9,20,3,2007,31.62,0,0.632876712
Altea,9,20,3,2007,31.72,0,0.632876712
Altea,9,20,3,2007,31.73,0,0.632876712
Altea,9,20,3,2007,31.78,0,0.632876712
Altea,9,20,3,2007,31.96,0,0.632876712
Altea,9,30,5,2007,6.1,0,0.079452055
Altea,9,30,5,2007,6.39,0,0.079452055
Altea,9,30,5,2007,6.61,0,0.079452055
Altea,9,30,5,2007,6.69,0,0.079452055
Altea,9,30,5,2007,6.7,0,0.079452055
Altea,9,30,5,2007,6.82,0,0.079452055
Altea,9,30,5,2007,7.02,0,0.079452055
Altea,9,30,5,2007,7.11,0,0.079452055
Altea,9,30,5,2007,7.21,0,0.079452055
Altea,9,30,5,2007,7.43,0,0.079452055
Altea,9,30,5,2007,7.76,0,0.079452055
Altea,9,30,5,2007,8.15,0,0.079452055
Altea,9,30,5,2007,8.21,0,0.079452055
Altea,9,30,5,2007,8.28,0,0.079452055
Altea,9,30,5,2007,8.29,0,0.079452055
Altea,9,30,5,2007,8.43,0,0.079452055
Altea,9,30,5,2007,8.49,0,0.079452055
Altea,9,30,5,2007,8.61,0,0.079452055
Altea,9,30,5,2007,8.86,0,0.079452055
Altea,9,30,5,2007,8.95,0,0.079452055
Altea,9,30,5,2007,9,0,0.079452055
Altea,9,30,5,2007,9.02,0,0.079452055
Altea,9,30,5,2007,9.09,0,0.079452055
Altea,9,30,5,2007,9.33,0,0.079452055
Altea,9,30,5,2007,9.37,0,0.079452055
Altea,9,30,5,2007,9.44,0,0.079452055
Altea,9,30,5,2007,9.6,0,0.079452055
Altea,9,30,5,2007,9.77,0,0.079452055
Altea,9,30,5,2007,9.94,0,0.079452055
Altea,9,30,5,2007,10.04,0,0.079452055
Altea,9,30,5,2007,10.15,0,0.079452055
Altea,9,30,5,2007,10.16,0,0.079452055
Altea,9,30,5,2007,10.19,0,0.079452055
Altea,9,30,5,2007,10.2,0,0.079452055
Altea,9,30,5,2007,10.21,0,0.079452055
Altea,9,30,5,2007,10.52,0,0.079452055
Altea,9,30,5,2007,10.55,0,0.079452055
Altea,9,30,5,2007,10.63,0,0.079452055
Altea,9,30,5,2007,10.67,0,0.079452055
Altea,9,30,5,2007,10.75,0,0.079452055
Altea,9,30,5,2007,10.86,0,0.079452055
Altea,9,30,5,2007,10.96,0,0.079452055
Altea,9,30,5,2007,11.02,0,0.079452055
Altea,9,30,5,2007,11.63,0,0.079452055
Altea,9,26,6,2007,11.6,0,0.153424658
Altea,9,26,6,2007,11.93,0,0.153424658
Altea,9,26,6,2007,12.02,0,0.153424658
Altea,9,26,6,2007,12.26,0,0.153424658
Altea,9,26,6,2007,12.31,0,0.153424658
Altea,9,26,6,2007,12.59,0,0.153424658
Altea,9,26,6,2007,12.67,0,0.153424658
Altea,9,26,6,2007,12.69,0,0.153424658
Altea,9,26,6,2007,12.83,0,0.153424658
Altea,9,26,6,2007,12.85,0,0.153424658
Altea,9,26,6,2007,12.97,0,0.153424658
Altea,9,26,6,2007,13.08,0,0.153424658
Altea,9,26,6,2007,13.49,0,0.153424658
Altea,9,26,6,2007,13.51,0,0.153424658
Altea,9,26,6,2007,14.01,0,0.153424658
Altea,9,26,6,2007,14.05,0,0.153424658
Altea,9,26,6,2007,14.12,0,0.153424658
Altea,9,26,6,2007,14.19,0,0.153424658
Altea,9,26,6,2007,14.32,0,0.153424658
Altea,9,26,6,2007,14.44,0,0.153424658
Altea,9,26,6,2007,14.46,0,0.153424658
Altea,9,26,6,2007,14.46,0,0.153424658
Altea,9,26,6,2007,14.65,0,0.153424658
Altea,9,26,6,2007,14.91,0,0.153424658
Altea,9,26,6,2007,15.33,0,0.153424658
Altea,9,26,6,2007,15.42,0,0.153424658
Altea,9,26,6,2007,15.45,0,0.153424658
Altea,9,26,6,2007,15.64,0,0.153424658
Altea,9,26,6,2007,15.88,0,0.153424658
Altea,9,26,6,2007,16.01,0,0.153424658
Altea,9,26,6,2007,16.03,0,0.153424658
Altea,9,26,6,2007,16.05,0,0.153424658
Altea,9,26,6,2007,16.12,0,0.153424658
Altea,9,26,6,2007,16.22,0,0.153424658
Altea,9,26,6,2007,16.84,0,0.153424658
Altea,9,26,6,2007,16.87,0,0.153424658
Altea,9,26,6,2007,16.96,0,0.153424658
Altea,9,26,6,2007,17.57,0,0.153424658
Altea,9,26,6,2007,17.58,0,0.153424658
Altea,9,26,6,2007,17.58,0,0.153424658
Altea,9,26,6,2007,17.59,0,0.153424658
Altea,9,26,6,2007,17.64,0,0.153424658
Altea,9,26,6,2007,17.89,0,0.153424658
Altea,9,26,6,2007,18.1,0,0.153424658
Altea,9,26,6,2007,18.27,0,0.153424658
Altea,9,26,6,2007,18.39,0,0.153424658
Altea,9,26,6,2007,18.99,0,0.153424658
Altea,9,26,6,2007,19.22,0,0.153424658
Altea,9,26,6,2007,19.63,0,0.153424658
Altea,9,26,6,2007,19.74,0,0.153424658
Altea,9,26,6,2007,19.9,0,0.153424658
Altea,9,26,6,2007,20.31,0,0.153424658
Altea,9,26,6,2007,20.44,0,0.153424658
Altea,9,26,6,2007,20.45,0,0.153424658
Altea,9,26,6,2007,20.53,0,0.153424658
Altea,9,26,6,2007,20.57,0,0.153424658
Altea,9,26,6,2007,20.79,0,0.153424658
Altea,9,26,6,2007,20.87,0,0.153424658
Altea,9,26,6,2007,21.08,0,0.153424658
Altea,9,26,6,2007,21.27,0,0.153424658
Altea,9,26,6,2007,21.32,0,0.153424658
Altea,9,26,6,2007,21.41,0,0.153424658
Altea,9,26,6,2007,21.92,0,0.153424658
Altea,9,26,6,2007,22.01,0,0.153424658
Altea,9,26,6,2007,22.2,0,0.153424658
Altea,9,26,6,2007,22.56,0,0.153424658
Altea,9,26,6,2007,22.59,0,0.153424658
Altea,9,26,6,2007,22.99,0,0.153424658
Altea,9,26,6,2007,23.19,0,0.153424658
Altea,9,26,6,2007,23.22,0,0.153424658
Altea,9,26,6,2007,23.39,0,0.153424658
Altea,9,26,6,2007,23.4,0,0.153424658
Altea,9,26,6,2007,23.48,0,0.153424658
Altea,9,26,6,2007,23.59,0,0.153424658
Altea,9,26,6,2007,23.7,0,0.153424658
Altea,9,26,6,2007,23.8,0,0.153424658
Altea,9,26,6,2007,24.11,0,0.153424658
Altea,9,26,6,2007,24.18,0,0.153424658
Altea,9,26,6,2007,24.2,0,0.153424658
Altea,9,26,6,2007,24.36,0,0.153424658
Altea,9,26,6,2007,24.38,0,0.153424658
Altea,9,26,6,2007,26.65,0,0.153424658
Altea,9,26,6,2007,7.1,0,0.153424658
Altea,9,26,6,2007,7.78,0,0.153424658
Altea,9,26,6,2007,8.1,0,0.153424658
Altea,9,26,6,2007,8.51,0,0.153424658
Altea,9,26,6,2007,8.75,0,0.153424658
Altea,9,26,6,2007,9.59,0,0.153424658
Altea,9,26,6,2007,9.76,0,0.153424658
Altea,9,26,6,2007,9.97,0,0.153424658
Altea,9,26,6,2007,10.15,0,0.153424658
Altea,9,26,6,2007,10.21,0,0.153424658
Altea,9,26,6,2007,10.37,0,0.153424658
Altea,9,26,6,2007,10.5,0,0.153424658
Altea,9,26,6,2007,10.53,0,0.153424658
Altea,9,26,6,2007,10.59,0,0.153424658
Altea,9,26,6,2007,10.73,0,0.153424658
Altea,9,26,6,2007,11.15,0,0.153424658
Altea,9,26,6,2007,11.33,0,0.153424658
Altea,9,26,6,2007,11.38,0,0.153424658
Altea,9,26,6,2007,11.48,0,0.153424658
Altea,9,26,6,2007,11.5,0,0.153424658
Altea,9,26,6,2007,11.78,0,0.153424658
Altea,9,26,6,2007,11.94,0,0.153424658
Altea,9,26,6,2007,17.63,0,0.153424658
Altea,9,23,7,2007,12.12,0,0.22739726
Altea,9,23,7,2007,12.32,0,0.22739726
Altea,9,23,7,2007,12.47,0,0.22739726
Altea,9,23,7,2007,12.53,0,0.22739726
Altea,9,23,7,2007,12.58,0,0.22739726
Altea,9,23,7,2007,12.67,0,0.22739726
Altea,9,23,7,2007,12.98,0,0.22739726
Altea,9,23,7,2007,13.08,0,0.22739726
Altea,9,23,7,2007,13.08,0,0.22739726
Altea,9,23,7,2007,13.1,0,0.22739726
Altea,9,23,7,2007,13.12,0,0.22739726
Altea,9,23,7,2007,13.2,0,0.22739726
Altea,9,23,7,2007,13.28,0,0.22739726
Altea,9,23,7,2007,13.43,0,0.22739726
Altea,9,23,7,2007,13.51,0,0.22739726
Altea,9,23,7,2007,13.56,0,0.22739726
Altea,9,23,7,2007,13.67,0,0.22739726
Altea,9,23,7,2007,13.82,0,0.22739726
Altea,9,23,7,2007,14.03,0,0.22739726
Altea,9,23,7,2007,14.13,0,0.22739726
Altea,9,23,7,2007,14.18,0,0.22739726
Altea,9,23,7,2007,14.22,0,0.22739726
Altea,9,23,7,2007,14.25,0,0.22739726
Altea,9,23,7,2007,14.38,0,0.22739726
Altea,9,23,7,2007,14.41,0,0.22739726
Altea,9,23,7,2007,14.42,0,0.22739726
Altea,9,23,7,2007,14.47,0,0.22739726
Altea,9,23,7,2007,14.56,0,0.22739726
Altea,9,23,7,2007,14.57,0,0.22739726
Altea,9,23,7,2007,14.58,0,0.22739726
Altea,9,23,7,2007,14.83,0,0.22739726
Altea,9,23,7,2007,14.86,0,0.22739726
Altea,9,23,7,2007,14.91,0,0.22739726
Altea,9,23,7,2007,15.21,0,0.22739726
Altea,9,23,7,2007,15.21,0,0.22739726
Altea,9,23,7,2007,15.25,0,0.22739726
Altea,9,23,7,2007,15.27,0,0.22739726
Altea,9,23,7,2007,15.31,0,0.22739726
Altea,9,23,7,2007,15.51,0,0.22739726
Altea,9,23,7,2007,15.53,0,0.22739726
Altea,9,23,7,2007,15.69,0,0.22739726
Altea,9,23,7,2007,15.78,0,0.22739726
Altea,9,23,7,2007,15.82,0,0.22739726
Altea,9,23,7,2007,15.84,0,0.22739726
Altea,9,23,7,2007,15.89,0,0.22739726
Altea,9,23,7,2007,16,0,0.22739726
Altea,9,23,7,2007,16.02,0,0.22739726
Altea,9,23,7,2007,16.08,0,0.22739726
Altea,9,23,7,2007,16.15,0,0.22739726
Altea,9,23,7,2007,16.34,0,0.22739726
Altea,9,23,7,2007,16.35,0,0.22739726
Altea,9,23,7,2007,16.47,0,0.22739726
Altea,9,23,7,2007,16.54,0,0.22739726
Altea,9,23,7,2007,16.6,0,0.22739726
Altea,9,23,7,2007,16.61,0,0.22739726
Altea,9,23,7,2007,16.81,0,0.22739726
Altea,9,23,7,2007,16.83,0,0.22739726
Altea,9,23,7,2007,16.84,0,0.22739726
Altea,9,23,7,2007,16.88,0,0.22739726
Altea,9,23,7,2007,16.91,0,0.22739726
Altea,9,23,7,2007,17.06,0,0.22739726
Altea,9,23,7,2007,17.08,0,0.22739726
Altea,9,23,7,2007,17.13,0,0.22739726
Altea,9,23,7,2007,17.21,0,0.22739726
Altea,9,23,7,2007,17.3,0,0.22739726
Altea,9,23,7,2007,17.33,0,0.22739726
Altea,9,23,7,2007,17.38,0,0.22739726
Altea,9,23,7,2007,17.39,0,0.22739726
Altea,9,23,7,2007,17.4,0,0.22739726
Altea,9,23,7,2007,17.45,0,0.22739726
Altea,9,23,7,2007,17.57,0,0.22739726
Altea,9,23,7,2007,17.66,0,0.22739726
Altea,9,23,7,2007,17.88,0,0.22739726
Altea,9,23,7,2007,17.88,0,0.22739726
Altea,9,23,7,2007,18,0,0.22739726
Altea,9,23,7,2007,18.05,0,0.22739726
Altea,9,23,7,2007,18.07,0,0.22739726
Altea,9,23,7,2007,18.39,0,0.22739726
Altea,9,23,7,2007,18.43,0,0.22739726
Altea,9,23,7,2007,18.56,0,0.22739726
Altea,9,23,7,2007,18.59,0,0.22739726
Altea,9,23,7,2007,18.7,0,0.22739726
Altea,9,23,7,2007,18.74,0,0.22739726
Altea,9,23,7,2007,18.76,0,0.22739726
Altea,9,23,7,2007,18.78,0,0.22739726
Altea,9,23,7,2007,18.81,0,0.22739726
Altea,9,23,7,2007,18.84,0,0.22739726
Altea,9,23,7,2007,18.93,0,0.22739726
Altea,9,23,7,2007,19.17,0,0.22739726
Altea,9,23,7,2007,19.39,0,0.22739726
Altea,9,23,7,2007,19.73,0,0.22739726
Altea,9,23,7,2007,19.77,0,0.22739726
Altea,9,23,7,2007,19.87,0,0.22739726
Altea,9,23,7,2007,19.91,0,0.22739726
Altea,9,23,7,2007,20.02,0,0.22739726
Altea,9,23,7,2007,20.12,0,0.22739726
Altea,9,23,7,2007,20.13,0,0.22739726
Altea,9,23,7,2007,20.29,0,0.22739726
Altea,9,23,7,2007,20.58,0,0.22739726
Altea,9,23,7,2007,20.72,0,0.22739726
Altea,9,23,7,2007,20.73,0,0.22739726
Altea,9,23,7,2007,20.77,0,0.22739726
Altea,9,23,7,2007,20.8,0,0.22739726
Altea,9,23,7,2007,20.81,0,0.22739726
Altea,9,23,7,2007,20.9,0,0.22739726
Altea,9,23,7,2007,21.2,0,0.22739726
Altea,9,23,7,2007,21.23,0,0.22739726
Altea,9,23,7,2007,21.33,0,0.22739726
Altea,9,23,7,2007,21.37,0,0.22739726
Altea,9,23,7,2007,21.47,0,0.22739726
Altea,9,23,7,2007,21.56,0,0.22739726
Altea,9,23,7,2007,21.59,0,0.22739726
Altea,9,23,7,2007,21.73,0,0.22739726
Altea,9,23,7,2007,22.06,0,0.22739726
Altea,9,23,7,2007,22.21,0,0.22739726
Altea,9,23,7,2007,23,0,0.22739726
Altea,9,23,7,2007,23.36,0,0.22739726
Altea,9,23,7,2007,23.38,0,0.22739726
Altea,9,23,7,2007,23.65,0,0.22739726
Altea,9,23,7,2007,23.66,0,0.22739726
Altea,9,23,7,2007,24.14,0,0.22739726
Altea,9,23,7,2007,24.28,0,0.22739726
Altea,9,23,7,2007,24.65,0,0.22739726
Altea,9,23,7,2007,24.65,0,0.22739726
Altea,9,23,7,2007,24.84,0,0.22739726
Altea,9,23,7,2007,24.85,0,0.22739726
Altea,9,23,7,2007,6.78,0,0.22739726
Altea,9,23,7,2007,7.69,0,0.22739726
Altea,9,23,7,2007,8.54,0,0.22739726
Altea,9,23,7,2007,9.66,0,0.22739726
Altea,9,23,7,2007,10.02,0,0.22739726
Altea,9,23,7,2007,10.09,0,0.22739726
Altea,9,23,7,2007,10.17,0,0.22739726
Altea,9,23,7,2007,10.55,0,0.22739726
Altea,9,23,7,2007,10.63,0,0.22739726
Altea,9,23,7,2007,10.66,0,0.22739726
Altea,9,23,7,2007,10.87,0,0.22739726
Altea,9,23,7,2007,11.17,0,0.22739726
Altea,9,23,7,2007,11.45,0,0.22739726
Altea,9,23,7,2007,11.58,0,0.22739726
Altea,9,23,7,2007,11.71,0,0.22739726
Altea,9,23,7,2007,11.94,0,0.22739726
Altea,9,30,8,2007,11.48,0,0.079452055
Altea,9,30,8,2007,11.63,0,0.079452055
Altea,9,30,8,2007,12.01,0,0.079452055
Altea,9,30,8,2007,12.14,0,0.079452055
Altea,9,30,8,2007,12.18,0,0.079452055
Altea,9,30,8,2007,12.18,0,0.079452055
Altea,9,30,8,2007,12.25,0,0.079452055
Altea,9,30,8,2007,12.25,0,0.079452055
Altea,9,30,8,2007,12.45,0,0.079452055
Altea,9,30,8,2007,12.51,0,0.079452055
Altea,9,30,8,2007,12.54,0,0.079452055
Altea,9,30,8,2007,12.56,0,0.079452055
Altea,9,30,8,2007,12.57,0,0.079452055
Altea,9,30,8,2007,12.6,0,0.079452055
Altea,9,30,8,2007,12.62,0,0.079452055
Altea,9,30,8,2007,12.66,0,0.079452055
Altea,9,30,8,2007,12.68,0,0.079452055
Altea,9,30,8,2007,12.72,0,0.079452055
Altea,9,30,8,2007,12.94,0,0.079452055
Altea,9,30,8,2007,12.96,0,0.079452055
Altea,9,30,8,2007,13.01,0,0.079452055
Altea,9,30,8,2007,13.07,0,0.079452055
Altea,9,30,8,2007,13.13,0,0.079452055
Altea,9,30,8,2007,13.15,0,0.079452055
Altea,9,30,8,2007,13.23,0,0.079452055
Altea,9,30,8,2007,13.24,0,0.079452055
Altea,9,30,8,2007,13.25,0,0.079452055
Altea,9,30,8,2007,13.26,0,0.079452055
Altea,9,30,8,2007,13.43,0,0.079452055
Altea,9,30,8,2007,13.71,0,0.079452055
Altea,9,30,8,2007,13.73,0,0.079452055
Altea,9,30,8,2007,13.75,0,0.079452055
Altea,9,30,8,2007,13.8,0,0.079452055
Altea,9,30,8,2007,13.89,0,0.079452055
Altea,9,30,8,2007,13.96,0,0.079452055
Altea,9,30,8,2007,13.99,0,0.079452055
Altea,9,30,8,2007,14.03,0,0.079452055
Altea,9,30,8,2007,14.05,0,0.079452055
Altea,9,30,8,2007,14.07,0,0.079452055
Altea,9,30,8,2007,14.12,0,0.079452055
Altea,9,30,8,2007,14.16,0,0.079452055
Altea,9,30,8,2007,14.17,0,0.079452055
Altea,9,30,8,2007,14.18,0,0.079452055
Altea,9,30,8,2007,14.2,0,0.079452055
Altea,9,30,8,2007,14.21,0,0.079452055
Altea,9,30,8,2007,14.26,0,0.079452055
Altea,9,30,8,2007,14.28,0,0.079452055
Altea,9,30,8,2007,14.28,0,0.079452055
Altea,9,30,8,2007,14.29,0,0.079452055
Altea,9,30,8,2007,14.31,0,0.079452055
Altea,9,30,8,2007,14.33,0,0.079452055
Altea,9,30,8,2007,14.35,0,0.079452055
Altea,9,30,8,2007,14.39,0,0.079452055
Altea,9,30,8,2007,14.41,0,0.079452055
Altea,9,30,8,2007,14.44,0,0.079452055
Altea,9,30,8,2007,14.5,0,0.079452055
Altea,9,30,8,2007,14.53,0,0.079452055
Altea,9,30,8,2007,14.55,0,0.079452055
Altea,9,30,8,2007,14.58,0,0.079452055
Altea,9,30,8,2007,14.61,0,0.079452055
Altea,9,30,8,2007,14.63,0,0.079452055
Altea,9,30,8,2007,14.65,0,0.079452055
Altea,9,30,8,2007,14.71,0,0.079452055
Altea,9,30,8,2007,14.72,0,0.079452055
Altea,9,30,8,2007,14.74,0,0.079452055
Altea,9,30,8,2007,14.76,0,0.079452055
Altea,9,30,8,2007,14.77,0,0.079452055
Altea,9,30,8,2007,14.78,0,0.079452055
Altea,9,30,8,2007,14.8,0,0.079452055
Altea,9,30,8,2007,14.83,0,0.079452055
Altea,9,30,8,2007,14.84,0,0.079452055
Altea,9,30,8,2007,14.84,0,0.079452055
Altea,9,30,8,2007,14.88,0,0.079452055
Altea,9,30,8,2007,14.91,0,0.079452055
Altea,9,30,8,2007,14.96,0,0.079452055
Altea,9,30,8,2007,15.04,0,0.079452055
Altea,9,30,8,2007,15.12,0,0.079452055
Altea,9,30,8,2007,15.24,0,0.079452055
Altea,9,30,8,2007,15.24,0,0.079452055
Altea,9,30,8,2007,15.31,0,0.079452055
Altea,9,30,8,2007,15.32,0,0.079452055
Altea,9,30,8,2007,15.49,0,0.079452055
Altea,9,30,8,2007,15.53,0,0.079452055
Altea,9,30,8,2007,15.54,0,0.079452055
Altea,9,30,8,2007,15.6,0,0.079452055
Altea,9,30,8,2007,15.68,0,0.079452055
Altea,9,30,8,2007,15.71,0,0.079452055
Altea,9,30,8,2007,15.71,0,0.079452055
Altea,9,30,8,2007,15.72,0,0.079452055
Altea,9,30,8,2007,15.75,0,0.079452055
Altea,9,30,8,2007,15.77,0,0.079452055
Altea,9,30,8,2007,15.98,0,0.079452055
Altea,9,30,8,2007,16.07,0,0.079452055
Altea,9,30,8,2007,16.14,0,0.079452055
Altea,9,30,8,2007,16.16,0,0.079452055
Altea,9,30,8,2007,16.2,0,0.079452055
Altea,9,30,8,2007,16.63,0,0.079452055
Altea,9,30,8,2007,16.67,0,0.079452055
Altea,9,30,8,2007,16.81,0,0.079452055
Altea,9,30,8,2007,16.86,0,0.079452055
Altea,9,30,8,2007,17,0,0.079452055
Altea,9,30,8,2007,17.06,0,0.079452055
Altea,9,30,8,2007,17.09,0,0.079452055
Altea,9,30,8,2007,17.31,0,0.079452055
Altea,9,30,8,2007,17.42,0,0.079452055
Altea,9,30,8,2007,17.46,0,0.079452055
Altea,9,30,8,2007,17.78,0,0.079452055
Altea,9,30,8,2007,17.8,0,0.079452055
Altea,9,30,8,2007,17.9,0,0.079452055
Altea,9,30,8,2007,18.23,0,0.079452055
Altea,9,30,8,2007,18.27,0,0.079452055
Altea,9,30,8,2007,18.32,0,0.079452055
Altea,9,30,8,2007,18.52,0,0.079452055
Altea,9,30,8,2007,18.7,0,0.079452055
Altea,9,30,8,2007,18.81,0,0.079452055
Altea,9,30,8,2007,18.87,0,0.079452055
Altea,9,30,8,2007,19,0,0.079452055
Altea,9,30,8,2007,19.01,0,0.079452055
Altea,9,30,8,2007,19.01,0,0.079452055
Altea,9,30,8,2007,19.7,0,0.079452055
Altea,9,30,8,2007,19.82,0,0.079452055
Altea,9,30,8,2007,19.91,0,0.079452055
Altea,9,30,8,2007,19.99,0,0.079452055
Altea,9,30,8,2007,20.19,0,0.079452055
Altea,9,30,8,2007,20.2,0,0.079452055
Altea,9,30,8,2007,20.22,0,0.079452055
Altea,9,30,8,2007,20.25,0,0.079452055
Altea,9,30,8,2007,20.52,0,0.079452055
