year,agid,spname,month,day,weight,tl,sex,otoage
2001,113,Black Drum,5,23,,1185,male,18
2001,114,Black Drum,5,23,,1195,female,41
2001,115,Black Drum,5,23,,1085,male,16
2001,116,Black Drum,5,23,,1165,female,25
2001,117,Black Drum,5,23,,1005,female,13
2001,118,Black Drum,5,23,,1200,male,33
2001,119,Black Drum,5,23,,1202.5,male,27
2001,120,Black Drum,5,23,,1205,female,40
2001,121,Black Drum,5,23,,897.5,male,7
2001,122,Black Drum,5,23,,1175,male,39
2001,123,Black Drum,5,26,12.7,752,female,5
2001,124,Black Drum,5,26,9.8,665,female,4
2001,125,Black Drum,6,5,,590,male,4
2001,126,Black Drum,6,13,6.3,570,unknown,3
2001,127,Black Drum,6,13,5.7,530,male,3
2001,128,Black Drum,10,2,0.469,240,immature,0
2001,129,Black Drum,10,2,0.34,210,immature,0
2001,130,Black Drum,10,2,0.43,235,immature,0
2001,131,Black Drum,10,2,0.34,217.5,immature,0
2001,132,Black Drum,10,2,0.519,245,immature,0
2001,133,Black Drum,10,2,0.34,220,immature,0
2001,134,Black Drum,10,10,0.509,255,female,0
2001,135,Black Drum,10,12,2.05,377.5,immature,1
2001,136,Black Drum,10,12,1.87,380,immature,1
2001,137,Black Drum,10,12,2.38,392.5,immature,1
2001,138,Black Drum,10,12,2.35,397.5,immature,1
2001,139,Black Drum,10,12,1.59,360,immature,1
2001,140,Black Drum,10,12,2.45,397.5,immature,1
2001,141,Black Drum,10,12,1.65,362.5,immature,1
