date,length,age,maturity,stage
7/9/2004,61,5,Mature,7
7/12/2004,42,5,Immature,2
7/12/2004,47,4,Immature,2
7/18/2004,41,4,Mature,7
7/18/2004,50,5,Mature,7
7/20/2004,51,4,Mature,7
7/23/2004,42,3,Mature,7
7/23/2004,47,4,Mature,7
7/26/2004,57,6,Mature,7
7/27/2004,53,4,Mature,7
7/30/2004,55,6,Mature,7
8/9/2004,58,6,Mature,3
8/10/2004,50,4,Mature,7
8/11/2004,51,5,Mature,7
8/12/2004,51,5,Mature,7
8/12/2004,48,5,Mature,7
8/14/2004,53,4,Mature,7
8/14/2004,58,8,Mature,4
8/15/2004,51,5,Mature,7
8/15/2004,52,5,Mature,7
4/14/2005,56,7,Mature,6
4/21/2005,54,5,Mature,6
4/30/2005,61,9,Mature,6
4/30/2006,49,NA,Mature,7
4/30/2005,51,6,Mature,6
4/30/2005,53,6,Mature,6
5/4/2005,62,6,Mature,6
5/13/2005,48,5,Immature,2
5/13/2005,44,5,Mature,2
5/21/2006,56,NA,Mature,7
5/14/2005,58,7,Mature,6
5/28/2006,52,NA,Mature,7
5/28/2005,65,8,Mature,3
5/28/2005,55,6,Mature,7
5/31/2005,57,7,Mature,6
6/1/2005,52,5,Mature,6
6/3/2005,58,5,Mature,6
3/27/2006,55,NA,Mature,4
4/3/2006,48,NA,Mature,6
6/8/2005,56,6,Mature,6
6/9/2005,63,7,Mature,6
6/11/2005,51,5,Immature,7
6/12/2005,53,6,Mature,6
6/9/2006,54,NA,Mature,7
6/9/2006,57,NA,Mature,7
6/22/2005,56,6,Mature,3
6/11/2006,46,NA,Immature,2
6/22/2005,48,6,Immature,2
6/11/2006,51,NA,Mature,7
6/23/2005,44,5,Immature,2
6/24/2005,48,5,Immature,2
6/22/2006,46,NA,Mature,7
6/28/2005,41,4,Immature,2
6/23/2006,42,NA,Mature,2
6/28/2005,51,5,Mature,7
6/24/2006,56,NA,Mature,6
6/30/2005,59,6,Mature,7
7/1/2005,49,5,Unknown,7
6/29/2006,53,NA,Mature,7
7/1/2005,54,5,Mature,7
7/3/2005,52,5,Mature,7
6/29/2006,60,NA,Mature,7
7/3/2005,45,4,Mature,6
6/30/2006,60,NA,Mature,7
7/1/2006,56,NA,Mature,7
7/1/2006,55,NA,Mature,7
7/16/2005,59,6,Mature,7
7/19/2005,56,6,Mature,7
7/20/2005,51,5,Mature,7
7/21/2005,50,4,Mature,7
7/22/2005,52,5,Mature,7
7/23/2005,54,5,Mature,7
7/24/2005,39,4,Immature,2
7/24/2005,50,5,Mature,7
7/29/2005,54,5,Mature,7
7/30/2005,53,5,Mature,7
7/30/2005,42,3,Immature,2
6/29/2006,56,NA,Mature,7
8/3/2005,59,5,Mature,7
4/23/2006,52,7,Mature,7
5/4/2006,44,5,Unknown,2
5/6/2006,46,4,Mature,6
7/3/2006,64,NA,Mature,7
7/3/2006,67,NA,Mature,7
5/14/2006,54,7,Mature,6
7/6/2006,46,NA,Mature,7
5/14/2006,58,7,Mature,7
5/20/2006,45,5,Mature,7
5/24/2006,50,5,Mature,7
5/28/2006,57,7,Mature,7
5/28/2006,55,7,Mature,7
5/30/2006,56,6,Mature,7
5/30/2006,58,6,Mature,7
6/2/2006,70,14,Mature,7
7/15/2006,70,NA,Mature,7
7/15/2006,47,NA,Mature,7
4/4/2006,56,8,Mature,4
4/8/2006,52,7,Mature,4
4/9/2006,48,5,Mature,6
7/18/2006,60,NA,Mature,7
7/18/2006,60,NA,Mature,7
6/7/2006,50,7,Mature,7
6/10/2006,64,9,Mature,7
6/11/2006,47,6,Immature,2
6/11/2006,59,8,Mature,7
6/11/2006,58,8,Mature,7
6/22/2006,61,6,Mature,7
6/23/2006,41,5,Immature,2
6/24/2006,47,6,Immature,2
6/26/2006,63,7,Mature,7
6/28/2006,42,4,Immature,2
6/29/2006,66,10,Mature,7
6/29/2006,61,8,Mature,7
6/30/2006,56,6,Mature,7
7/1/2006,47,5,Mature,7
7/1/2006,55,6,Mature,7
7/1/2006,46,5,Immature,2
7/1/2006,61,7,Mature,7
7/1/2006,56,6,Mature,7
7/1/2006,53,5,Mature,7
7/1/2006,60,6,Mature,7
7/2/2006,66,11,Mature,7
7/2/2006,58,7,Mature,7
7/2/2006,62,8,Mature,7
7/2/2006,56,6,Mature,2
8/15/2006,67,NA,Mature,7
7/2/2006,61,8,Mature,7
7/2/2006,56,6,Mature,7
7/3/2006,45,4,Mature,2
7/3/2006,46,5,Mature,2
7/3/2006,56,7,Mature,7
7/7/2006,42,5,Mature,2
7/7/2006,63,6,Mature,7
7/7/2006,71,9,Mature,7
7/5/2006,61,6,Mature,7
8/23/2006,57,NA,Mature,3
7/8/2006,49,5,Mature,7
7/9/2006,61,5,Mature,7
7/9/2006,43,5,Mature,2
7/13/2006,50,6,Mature,7
9/1/2006,58,NA,Mature,7
9/5/2006,55,NA,Mature,7
9/5/2006,54,NA,Mature,7
9/8/2006,56,NA,Mature,7
9/9/2006,50,NA,Mature,3
9/9/2006,65,NA,Mature,7
7/17/2006,62,8,Mature,7
9/10/2006,56,NA,Mature,7
9/23/2006,49,NA,Mature,2
3/16/2007,51,NA,Mature,4
3/17/2007,55,NA,Mature,6
3/25/2007,60,NA,Mature,4
3/25/2007,56,NA,Mature,4
3/26/2007,58,NA,Mature,4
3/31/2007,59,NA,Mature,4
7/17/2006,54,6,Mature,2
7/18/2006,47,6,Mature,2
7/20/2006,52,6,Immature,7
7/20/2006,58,6,Mature,7
4/3/2007,52,NA,Mature,3
7/20/2006,56,5,Mature,7
7/22/2006,63,8,Mature,7
7/23/2006,52,6,Mature,2
7/24/2006,52,5,Immature,2
7/26/2006,55,6,Mature,7
7/27/2006,48,5,Mature,2
7/31/2006,43,5,Mature,2
4/5/2007,53,NA,Mature,3
8/2/2006,59,6,Mature,7
8/2/2006,64,9,Mature,7
4/12/2007,63,NA,Mature,3
8/5/2006,49,6,Mature,2
8/7/2006,51,5,Mature,7
8/9/2006,57,7,Mature,7
4/26/2007,57,NA,Mature,7
8/9/2006,43,4,Immature,2
8/10/2006,57,6,Mature,7
8/11/2006,42,4,Immature,2
8/11/2006,57,7,Mature,7
8/12/2006,49,5,Mature,7
8/12/2006,40,3,Immature,2
8/12/2006,60,8,Mature,7
8/12/2006,44,5,Immature,7
8/12/2006,44,4,Immature,7
8/13/2006,48,4,Mature,7
8/16/2006,61,8,Mature,7
8/16/2006,40,4,Immature,2
8/17/2006,51,5,Mature,7
8/20/2006,43,4,Mature,7
8/21/2006,45,4,Mature,2
5/16/2007,50,NA,Mature,7
5/17/2007,60,NA,Mature,7
8/21/2006,53,5,Mature,2
8/21/2006,56,6,Mature,7
5/13/2007,58,NA,Mature,6
5/25/2007,54,NA,Mature,7
5/26/2007,60,NA,Mature,4
8/23/2006,42,4,Immature,2
5/27/2007,44,NA,Mature,2
8/23/2006,56,5,Mature,7
8/26/2006,51,5,Mature,7
6/3/2007,62,NA,Mature,7
8/26/2006,49,5,Mature,7
8/27/2006,50,6,Mature,7
8/31/2006,45,4,Mature,7
6/19/2007,55,NA,Mature,7
6/19/2007,63,NA,Mature,7
9/10/2006,44,4,Mature,2
4/2/2007,62,8,Mature,3
4/2/2007,41,4,Immature,2
4/3/2007,60,10,Mature,3
4/3/2007,58,7,Mature,3
4/3/2007,55,7,Mature,4
4/3/2007,49,4,Mature,3
4/4/2007,59,8,Mature,6
4/4/2007,45,5,Mature,3
4/4/2007,60,8,Mature,3
4/4/2007,53,9,Mature,3
6/22/2007,51,NA,Mature,2
4/5/2007,62,8,Mature,3
4/12/2007,43,5,Immature,2
6/23/2007,51,NA,Mature,7
4/21/2007,66,10,Mature,6
4/21/2007,55,8,Mature,6
4/25/2007,46,5,Mature,2
5/6/2007,62,9,Mature,6
5/7/2007,46,5,Mature,4
5/7/2007,65,8,Mature,6
5/12/2007,47,6,Mature,7
5/13/2007,64,8,Mature,4
5/13/2007,43,5,Mature,7
5/14/2007,63,8,Mature,6
5/18/2007,55,7,Mature,7
5/18/2007,74,13,Mature,7
5/27/2007,60,8,Mature,7
6/3/2007,69,11,Mature,7
6/3/2007,65,8,Mature,7
6/16/2007,43,4,Immature,2
6/17/2007,59,8,Mature,7
6/19/2007,58,7,Mature,7
6/19/2007,64,8,Mature,7
6/19/2007,64,10,Mature,7
6/19/2007,48,5,Immature,7
6/20/2007,63,9,Mature,6
6/20/2007,46,6,Immature,2
6/20/2007,54,6,Mature,7
6/21/2007,40,5,Immature,2
6/20/2007,62,8,Mature,7
6/21/2007,66,9,Mature,3
6/22/2007,55,6,Mature,7
6/22/2007,56,7,Mature,7
6/22/2007,60,10,Mature,7
6/23/2007,59,9,Mature,7
6/23/2007,46,5,Immature,2
8/5/2005,48,5,Immature,7
8/7/2005,62,8,Mature,3
8/9/2005,43,4,Mature,7
8/9/2005,68,9,Mature,7
8/7/2005,51,NA,Mature,7
6/23/2007,51,6,Immature,7
6/23/2007,59,9,Mature,7
6/23/2007,51,NA,Mature,7
6/24/2007,50,7,Mature,7
6/25/2007,56,7,Mature,7
6/25/2007,52,6,Mature,2
6/26/2007,49,7,Mature,7
6/26/2007,59,10,Mature,7
6/26/2007,57,8,Mature,7
6/27/2007,63,10,Mature,7
6/27/2007,48,7,Immature,2
6/27/2007,48,4,Mature,3
6/27/2007,51,NA,Mature,7
6/30/2007,60,9,Mature,7
7/3/2007,41,3,Immature,2
7/3/2007,47,5,Immature,2
7/3/2007,44,4,Mature,2
7/1/2007,55,NA,Mature,7
7/1/2007,52,NA,Mature,7
7/1/2007,61,NA,Mature,7
7/2/2007,46,NA,Immature,2
7/8/2007,44,4,Immature,2
7/14/2007,42,4,Immature,2
7/14/2007,44,5,Mature,2
7/3/2007,61,NA,Mature,7
7/3/2007,71,NA,Mature,7
7/5/2007,49,NA,Mature,7
7/6/2007,52,NA,Mature,7
7/6/2007,52,NA,Immature,2
7/16/2007,43,4,Immature,2
7/8/2007,69,NA,Mature,7
7/10/2007,63,NA,Mature,7
7/13/2007,47,NA,Mature,7
7/20/2007,43,4,Immature,2
7/26/2007,40,3,Immature,2
7/14/2007,53,NA,Mature,7
7/14/2007,68,NA,Mature,7
7/14/2007,63,NA,Mature,7
7/15/2007,53,NA,Mature,2
7/28/2007,44,4,Mature,2
7/16/2007,46,NA,Immature,7
7/16/2007,47,NA,Immature,2
7/16/2007,67,NA,Mature,7
7/16/2007,69,NA,Mature,7
7/17/2007,56,NA,Mature,7
7/18/2007,56,NA,Mature,3
7/31/2007,40,4,Immature,2
7/24/2007,54,NA,Mature,2
7/25/2007,52,NA,Immature,2
8/1/2007,44,4,Immature,2
7/27/2007,59,NA,Mature,7
8/2/2007,42,4,Immature,2
7/28/2007,46,NA,Mature,2
7/28/2007,67,NA,Mature,7
7/28/2007,51,NA,Immature,2
7/28/2007,56,NA,Mature,7
7/30/2007,57,NA,Mature,7
7/30/2007,47,NA,Mature,2
7/30/2007,59,NA,Mature,7
7/30/2007,56,NA,Mature,7
7/31/2007,59,NA,Mature,7
8/3/2007,44,4,Mature,2
8/5/2007,43,4,Immature,2
8/1/2007,56,NA,Mature,7
8/2/2007,48,NA,Mature,7
8/6/2007,42,4,Immature,2
8/3/2007,49,NA,Mature,2
8/3/2007,48,NA,Mature,2
8/3/2007,46,NA,Mature,2
8/9/2007,43,3,Immature,2
8/3/2007,49,NA,Mature,2
8/3/2007,59,NA,Mature,7
8/3/2007,49,NA,Mature,2
8/3/2007,63,NA,Mature,7
8/4/2007,46,NA,Mature,2
8/4/2007,57,NA,Mature,7
8/4/2007,61,NA,Mature,7
8/4/2007,45,NA,Mature,2
8/4/2007,61,NA,Mature,7
8/4/2007,58,NA,Mature,7
8/4/2007,64,NA,Mature,7
8/10/2007,41,4,Immature,2
8/5/2007,52,NA,Mature,7
8/5/2007,53,NA,Mature,7
8/5/2007,49,NA,Mature,2
4/2/2008,44,5,Immature,2
8/6/2007,50,NA,Mature,2
4/2/2008,45,5,Immature,2
8/9/2007,61,NA,Mature,7
8/10/2007,48,NA,Mature,2
4/2/2008,57,7,Mature,4
4/2/2008,74,13,Mature,4
4/8/2008,53,8,Mature,4
4/8/2008,55,7,Mature,6
4/20/2008,61,9,Mature,4
4/25/2008,57,10,Mature,6
4/27/2008,52,6,Mature,6
5/1/2008,66,9,Mature,4
5/1/2008,54,6,Mature,4
5/7/2008,61,8,Mature,6
5/10/2008,60,9,Mature,6
5/14/2008,68,8,Mature,4
4/2/2008,53,NA,Mature,4
5/18/2008,55,6,Mature,6
5/18/2008,62,7,Mature,6
5/18/2008,60,9,Mature,6
5/18/2008,51,6,Mature,6
5/18/2008,43,5,Mature,6
4/12/2008,56,NA,Mature,6
5/24/2008,59,8,Mature,6
5/24/2008,57,7,Mature,6
1/26/2008,43,NA,Mature,5
1/26/2008,48,NA,Mature,5
3/9/2008,63,NA,Mature,4
3/30/2008,57,NA,Mature,4
5/25/2008,68,11,Mature,6
4/27/2008,53,NA,Mature,4
5/25/2008,68,10,Mature,6
5/25/2008,58,7,Mature,6
5/4/2008,54,NA,Mature,6
5/25/2008,61,7,Mature,6
5/5/2008,49,NA,Mature,6
5/25/2008,61,7,Mature,6
5/9/2008,50,NA,Mature,6
5/25/2008,49,5,Mature,6
5/26/2008,68,11,Mature,6
5/26/2008,77,19,Mature,6
5/31/2008,61,8,Mature,6
6/8/2008,53,6,Mature,6
6/15/2008,59,7,Mature,6
6/17/2008,54,6,Mature,6
6/18/2008,63,9,Mature,6
6/18/2008,49,7,Mature,6
6/18/2008,56,8,Mature,6
5/26/2008,63,NA,Mature,6
6/18/2008,60,10,Mature,6
6/19/2008,62,11,Mature,6
5/26/2008,52,NA,Mature,6
6/19/2008,65,9,Mature,6
6/20/2008,68,7,Mature,6
6/20/2008,59,9,Mature,6
6/22/2008,61,11,Mature,6
6/22/2008,67,10,Mature,6
6/15/2008,60,NA,Mature,6
6/16/2008,51,NA,Mature,6
6/22/2008,45,4,Mature,6
6/22/2008,58,6,Mature,6
6/22/2008,42,4,Mature,6
6/24/2008,66,10,Mature,6
6/18/2008,61,NA,Mature,6
6/30/2008,70,11,Mature,6
6/17/2003,67,12,Mature,6
7/9/2003,44,6,Mature,7
7/16/2003,39,4,Immature,1
7/16/2003,57,8,Mature,7
6/22/2008,63,NA,Mature,6
10/25/2003,54,4,Mature,7
11/9/2003,53,6,Mature,2
6/24/2008,52,NA,Mature,6
4/3/2007,57,8,Mature,3
7/1/2008,54,NA,Mature,6
7/1/2008,57,NA,Mature,6
7/1/2008,45,NA,Immature,6
7/2/2008,42,NA,Mature,3
7/3/2008,59,NA,Mature,6
7/4/2008,52,NA,Mature,6
7/10/2008,52,NA,Mature,6
7/11/2008,52,NA,Mature,7
7/11/2008,49,NA,Mature,6
7/11/2008,45,NA,Mature,2
7/11/2008,43,NA,Mature,7
7/14/2008,47,NA,Mature,3
7/14/2008,52,NA,Mature,3
7/14/2008,59,NA,Mature,6
7/16/2008,53,NA,Mature,6
7/16/2008,42,NA,Immature,2
7/19/2008,49,NA,Mature,6
7/19/2008,55,NA,Mature,6
7/21/2008,53,NA,Mature,3
7/22/2008,54,NA,Mature,3
7/24/2008,51,NA,Mature,7
7/24/2008,45,NA,Immature,2
7/25/2008,60,NA,Mature,6
7/25/2008,47,NA,Mature,7
7/25/2008,42,NA,Immature,2
7/25/2008,47,NA,Mature,7
8/2/2008,56,NA,Mature,2
8/3/2008,46,NA,Mature,6
8/4/2008,48,NA,Immature,2
8/6/2008,52,NA,Mature,7
8/6/2008,62,NA,Mature,6
8/7/2008,71,NA,Mature,6
8/7/2008,53,NA,Mature,6
8/7/2008,54,NA,Mature,6
8/7/2008,48,NA,Mature,6
8/8/2008,64,NA,Mature,3
8/8/2008,63,NA,Mature,3
8/8/2008,54,NA,Mature,3
8/8/2008,52,NA,Immature,2
8/9/2008,56,NA,Mature,3
8/17/2008,65,NA,Mature,3
8/17/2008,43,NA,Mature,2
8/17/2008,66,NA,Mature,3
8/19/2008,47,NA,Mature,3
8/7/2007,47,NA,Immature,2
