age,tl,sex
10.2,283,female
10.2,280,female
10.4,275,female
10.5,284,female
10.5,281,female
10.2,297,female
10.7,302,female
10.7,288,female
10.8,283,female
10.9,280,female
11,277,female
11.1,270,female
11.1,283,female
11,284,female
11.1,288,female
11.1,291,female
11.3,295,female
11.2,297,female
11.1,293,female
11.3,291,female
11.3,283,female
11.5,280,female
11.7,265,female
11.9,277,female
11.8,283,female
11.8,289,female
12,292,female
12.1,295,female
11.9,295,female
11.7,305,female
11.9,309,female
11.6,309,female
11.4,310,female
11.3,312,female
11,309,female
10.9,305,female
10.9,317,female
10.5,316,female
10.5,322,female
11.5,318,female
11.9,316,female
11.9,321,female
11.9,328,female
12.5,277,female
12.5,287,female
12.5,292,female
12.7,298,female
12.5,300,female
12.7,332,female
12.4,348,female
13,311,female
13,302,female
13.3,291,female
13.3,286,female
13.2,297,female
13.2,304,female
13.3,299,female
13.5,299,female
13.5,306,female
12.9,270,female
13.5,273,female
14.1,259,female
14.8,264,female
14.4,275,female
14.5,280,female
14.2,288,female
13.9,292,female
13.8,288,female
13.6,288,female
13.8,308,female
13.9,313,female
13.9,318,female
13.9,330,female
14.2,340,female
14.5,344,female
14.8,320,female
14.7,320,female
14.5,312,female
14.5,305,female
15.1,303,female
15.1,295,female
15.3,291,female
15.2,283,female
15.2,327,female
15.7,327,female
15.7,309,female
16.5,297,female
16.5,288,female
16.5,280,female
16.9,281,female
16.9,269,female
17.1,269,female
17.4,285,female
17.5,288,female
17.2,299,female
17.2,303,female
17.4,305,female
17.4,308,female
16.9,312,female
16.2,309,female
18.2,309,female
18.3,288,female
18.5,289,female
18.7,289,female
19.4,280,female
19.6,289,female
19.6,292,female
21.2,296,female
21.2,299,female
21.3,306,female
22.2,305,female
23.2,321,female
22.2,358,female
28.3,294,female
