len	sample	recap
11.8	first	NO
11.1	first	NO
10.8	first	NO
21	first	NO
27.4	first	NO
29.4	first	NO
25.3	first	NO
20.4	first	NO
22.2	first	NO
38.6	first	NO
32	first	NO
30	first	NO
28.4	first	NO
25.5	first	NO
25	first	NO
22.5	first	NO
22.8	first	NO
31	first	NO
26.8	first	NO
21.8	first	NO
19.7	first	NO
16.4	first	NO
10.8	first	NO
22.1	first	NO
21.2	first	NO
26.6	first	NO
20.3	first	NO
25	first	NO
16.4	first	NO
21.1	first	NO
14.4	first	NO
16.4	first	NO
12.1	first	NO
12.6	first	NO
11.5	first	NO
10.4	first	NO
8.2	first	NO
12.3	first	NO
19.4	first	NO
16.2	first	NO
11.4	first	NO
11.6	first	NO
22.8	first	NO
9.8	first	NO
12	first	NO
9.7	first	NO
11.2	first	NO
11.6	first	NO
11.8	first	NO
18.3	first	NO
11.6	first	NO
11.1	first	NO
25.6	first	NO
20.3	first	NO
22.4	first	NO
17.5	first	NO
19.6	first	NO
27.8	first	NO
29.2	first	NO
25.4	first	NO
21.2	first	NO
17.3	first	NO
19.4	first	NO
12.2	first	NO
11.8	first	NO
19.9	first	NO
24.8	first	NO
20.4	first	NO
18.8	first	NO
14.8	first	NO
13	first	NO
14.2	first	NO
12.7	first	NO
11.8	first	NO
16.2	first	NO
12	first	NO
25.6	first	NO
9.7	first	NO
16.8	first	NO
11.4	first	NO
15.1	first	NO
13.5	first	NO
24.1	first	NO
13	first	NO
16.4	first	NO
15.3	first	NO
20.9	first	NO
16.9	first	NO
10.4	first	NO
8.8	first	NO
26.7	first	NO
21.4	first	NO
15.9	first	NO
12.7	first	NO
8.6	first	NO
10	first	NO
13.4	first	NO
8.7	first	NO
10.1	first	NO
9.9	first	NO
9.2	first	NO
29.8	first	NO
20.6	first	NO
27	first	NO
26.2	first	NO
23.1	first	NO
11.2	first	NO
9.6	first	NO
12.6	first	NO
12.6	first	NO
12.6	first	NO
13.1	first	NO
12.4	first	NO
26.6	first	NO
19.9	first	NO
19.6	first	NO
17.8	first	NO
23.6	first	NO
25.4	first	NO
18.5	first	NO
12.1	first	NO
14.9	first	NO
12	first	NO
16.5	first	NO
21.7	first	NO
29.7	first	NO
20.7	first	NO
18.8	first	NO
17.6	first	NO
18.8	first	NO
15.7	first	NO
18.7	first	NO
25	first	NO
24.7	first	NO
18	first	NO
19.8	first	NO
13.5	first	NO
11.1	first	NO
18.8	first	NO
16.1	first	NO
21.5	first	NO
10.8	first	NO
9.6	first	NO
10.5	first	NO
11.1	first	NO
11.6	first	NO
15.4	first	NO
12.1	first	NO
14.5	first	NO
11	first	NO
18.3	first	NO
7.9	first	NO
12.7	first	NO
11.5	first	NO
10.8	first	NO
11.1	first	NO
11.8	first	NO
11.1	first	NO
9	first	NO
17	first	NO
13.2	first	NO
11.4	first	NO
18.5	first	NO
19.5	first	NO
11.5	first	NO
24.2	first	NO
11.9	first	NO
13	first	NO
19.9	first	NO
10.9	first	NO
10.8	first	NO
12.2	first	NO
10.6	first	NO
19.6	first	NO
11.1	first	NO
11.4	first	NO
15.9	first	NO
15	first	NO
9.7	first	NO
17.5	first	NO
12	first	NO
10.5	first	NO
27.3	first	NO
16.8	first	NO
27.4	first	NO
24.1	first	NO
17.8	first	NO
21.8	first	NO
20.7	first	NO
11	first	NO
16.2	first	NO
20.8	first	NO
20.7	first	NO
15.6	first	NO
18.3	first	NO
18.9	first	NO
17.5	first	NO
16.2	first	NO
17.1	first	NO
11.1	first	NO
11.2	first	NO
14.3	first	NO
12	first	NO
10.8	first	NO
12	first	NO
16.6	first	NO
21.7	first	NO
11.8	first	NO
12.7	first	NO
10.6	first	NO
11.8	first	NO
13.5	first	NO
12.3	first	NO
11	first	NO
10.2	first	NO
13	first	NO
11.4	first	NO
10.6	first	NO
13.7	first	NO
12.6	first	NO
10.3	first	NO
11.9	first	NO
26.8	first	NO
23.4	first	NO
19.5	first	NO
20.2	first	NO
19.6	first	NO
19.4	first	NO
17.8	first	NO
16.5	first	NO
12	first	NO
16.7	first	NO
20.6	first	NO
26.5	first	NO
19.9	first	NO
21.6	first	NO
16.3	first	NO
16.2	first	NO
17.8	first	NO
17.5	first	NO
15.8	first	NO
18	first	NO
47.8	first	NO
22.3	first	NO
25.1	first	NO
27	first	NO
20.1	first	NO
26.1	first	NO
24	first	NO
18.2	first	NO
23	first	NO
27.6	first	NO
20.2	first	NO
23.5	first	NO
20.4	first	NO
19.2	first	NO
14.7	first	NO
18.9	first	NO
17	first	NO
11.2	first	NO
12.7	first	NO
16.9	first	NO
21.1	first	NO
25.2	first	NO
21.9	first	NO
15.3	first	NO
20	first	NO
17.1	first	NO
24.2	first	NO
13.3	first	NO
19.5	first	NO
13	first	NO
16.9	first	NO
12.6	first	NO
10.1	first	NO
8.6	first	NO
11.1	first	NO
12.6	first	NO
11	first	NO
9.8	first	NO
8.7	first	NO
11.8	first	NO
19.6	first	NO
16.6	first	NO
10.5	first	NO
9.8	first	NO
18.1	first	NO
22.8	first	NO
20.7	first	NO
30.1	first	NO
20.9	first	NO
12	first	NO
8.1	first	NO
8.3	first	NO
8.6	first	NO
10.6	first	NO
10.8	first	NO
10.3	first	NO
9.5	first	NO
10.8	first	NO
10	first	NO
16.9	first	NO
11.3	first	NO
16.3	first	NO
17.5	first	NO
9.4	first	NO
13	first	NO
38.3	first	NO
29.8	first	NO
26.5	first	NO
26.2	first	NO
26.4	first	NO
17.5	first	NO
27	first	NO
24.2	first	NO
18.6	first	NO
27.8	first	NO
16.2	first	NO
19.9	first	NO
18.5	first	NO
20.4	first	NO
22.2	first	NO
14.8	first	NO
18	first	NO
11.6	first	NO
18.1	first	NO
23.7	first	NO
11	first	NO
12	first	NO
10.5	first	NO
17.3	first	NO
24.2	first	NO
15.3	first	NO
10	first	NO
9.9	first	NO
23.7	first	NO
25.8	first	NO
17.5	first	NO
16.1	first	NO
25.4	first	NO
20.2	first	NO
12.5	first	NO
13.3	first	NO
10.8	first	NO
11.2	first	NO
9.8	first	NO
11.4	first	NO
24.8	first	NO
17.1	first	NO
15.8	first	NO
19.2	first	NO
25.7	first	NO
14.3	first	NO
20.6	first	NO
13.4	first	NO
11.4	first	NO
9.5	first	NO
17.8	first	NO
16.2	first	NO
11.6	first	NO
14.8	first	NO
10.2	first	NO
14.1	first	NO
11.3	first	NO
8.5	first	NO
8	first	NO
18	first	NO
14	first	NO
10.8	first	NO
13.6	first	NO
13.4	first	NO
12.8	first	NO
12.7	first	NO
12.3	first	NO
12.4	first	NO
10.4	first	NO
12.3	first	NO
18.5	first	NO
7.7	first	NO
26.3	first	NO
21.2	first	NO
17.6	first	NO
14	first	NO
17.3	first	NO
9.1	second	YES
12.1	second	YES
22.2	second	YES
9	second	YES
8.2	second	YES
27	second	YES
9.6	second	YES
10.8	second	YES
21	second	YES
20.6	second	YES
15.1	second	YES
17.7	second	YES
19.4	second	YES
28.9	second	YES
14.4	second	YES
29.4	second	YES
22	second	YES
26.8	second	YES
14.2	second	YES
19.9	second	YES
18.5	second	YES
26.6	second	YES
22.6	second	YES
12.2	second	YES
12.9	second	YES
24.9	second	YES
25.1	second	YES
14.5	second	YES
12.6	second	YES
18.1	second	YES
14.2	second	YES
13.7	second	YES
12.6	second	YES
15	second	YES
12.6	second	YES
18.3	second	YES
11.2	second	YES
10.4	second	YES
15.2	second	YES
9.5	second	YES
11.5	second	YES
11.7	second	YES
13.3	second	YES
16.4	second	YES
22	second	YES
14.1	second	YES
12.6	second	YES
15.4	second	YES
21	second	YES
16.5	second	YES
9.6	second	YES
8.2	second	YES
12.2	second	YES
11.3	second	YES
15.9	second	YES
12.4	second	YES
11.5	second	YES
12.2	second	YES
11.2	second	YES
11.3	second	YES
11.1	second	YES
10	second	YES
15.9	second	YES
26.9	second	YES
25.2	second	YES
32.1	second	YES
29.9	second	YES
22.1	second	YES
22.6	second	YES
26.9	second	YES
19.4	second	YES
25.5	second	YES
23.2	second	YES
21.3	second	YES
12.2	second	YES
19.5	second	YES
20.5	second	YES
31.9	second	YES
11.6	second	YES
14.8	second	YES
22	second	YES
22	second	YES
11.4	second	YES
21.2	second	YES
14.7	second	YES
27.6	second	YES
19.4	second	YES
25	second	YES
18	second	YES
16.2	second	YES
16.6	second	YES
18.1	second	YES
11	second	YES
15.3	second	YES
18.5	second	YES
21.2	second	YES
16.3	second	YES
16.5	second	YES
24.2	second	YES
19.4	second	YES
11.9	second	YES
13.4	second	YES
12.5	second	YES
20.3	second	YES
11.6	second	YES
14.2	second	YES
11.5	second	YES
11.1	second	YES
17.2	second	YES
11.8	second	YES
13.6	second	YES
19	second	YES
17.2	second	YES
11.6	second	YES
12.3	second	YES
8.7	second	YES
11.7	second	YES
24.1	second	YES
13	second	YES
20.9	second	YES
26.7	second	YES
19.4	second	YES
23.3	second	YES
15.7	second	YES
9	second	YES
28.5	second	YES
12.1	second	YES
11.9	second	YES
17	second	YES
11.6	second	YES
24	second	YES
21.2	second	YES
18	second	YES
13.8	second	YES
13.3	second	YES
10	second	YES
12.4	second	YES
12	second	YES
8.4	second	YES
12.3	second	YES
18	second	YES
18	second	YES
12.7	second	YES
26.4	second	YES
15.3	second	YES
19.3	second	YES
22.5	second	YES
29	second	YES
11.9	second	YES
14.6	second	YES
20.7	second	YES
18.8	second	YES
12.7	second	YES
19.1	second	YES
11.9	second	YES
24.8	second	YES
27.6	second	YES
19.7	second	YES
16.4	second	YES
12.6	second	YES
20.2	second	YES
19.8	second	YES
13.4	second	YES
19.2	second	YES
16.4	second	YES
25.6	second	YES
25.3	second	YES
22.2	second	YES
18.4	second	YES
19.1	second	YES
16.2	second	YES
26	second	YES
12.9	second	YES
15.8	second	YES
20.6	second	YES
21.2	second	YES
18.8	second	YES
17.6	second	YES
13.2	second	YES
22.4	second	YES
15	second	YES
18.8	second	YES
12.7	second	YES
9.1	second	YES
25.8	second	YES
12.4	second	YES
13.2	second	YES
12.8	second	YES
11	second	YES
25.6	second	YES
11.5	second	YES
19	second	YES
19.7	second	YES
30	second	YES
24	second	YES
17	second	YES
17.3	second	YES
10.8	second	YES
12.8	second	YES
13.6	second	YES
10.7	second	YES
13.1	second	YES
14.2	second	YES
9.8	second	YES
9.9	second	YES
20.7	second	YES
18.6	second	YES
26	second	YES
23.4	second	YES
18.2	second	YES
11.9	second	YES
18	second	YES
10.7	second	YES
19.6	second	YES
19.8	second	YES
19.4	second	YES
46.4	second	YES
20.2	second	YES
20.2	second	YES
24.1	second	YES
19.6	second	YES
16.6	second	YES
27.6	second	YES
18	second	YES
24.4	second	YES
21.4	second	YES
20.6	second	YES
30.1	second	YES
27.2	second	YES
15.9	second	YES
15.8	second	YES
20.3	second	YES
14.8	second	YES
16.7	second	YES
16.3	second	YES
10.3	second	YES
13.2	second	YES
16.8	second	YES
26.8	second	YES
12.9	second	YES
23.2	second	YES
22.1	second	YES
23.1	second	YES
8.4	second	YES
13.7	second	YES
11.8	second	YES
10.8	second	YES
15.5	second	YES
18.6	second	YES
24.8	second	YES
38	second	YES
18.6	second	YES
24.2	second	YES
16.6	second	YES
19.9	second	YES
20	second	YES
26.6	second	YES
28.2	second	YES
20.5	second	YES
20	second	YES
22.2	second	YES
15.9	second	YES
16.4	second	YES
13.1	second	YES
21.4	second	YES
11.4	second	YES
11.9	second	YES
25.4	second	YES
25.6	second	YES
17.9	second	YES
14.7	second	YES
14.5	second	YES
26.5	second	YES
12.5	second	YES
11.8	second	YES
12.4	second	YES
17.6	second	NO
11	second	NO
12.2	second	NO
9	second	NO
17.8	second	NO
7.2	second	NO
10.8	second	NO
12	second	NO
9.8	second	NO
18.2	second	NO
17	second	NO
16.2	second	NO
9.6	second	NO
18.4	second	NO
17.9	second	NO
9.8	second	NO
20.3	second	NO
19.4	second	NO
29.1	second	NO
19.6	second	NO
16.6	second	NO
18.4	second	NO
24.3	second	NO
24.3	second	NO
15.2	second	NO
16.4	second	NO
21.4	second	NO
21.8	second	NO
23	second	NO
17	second	NO
17.5	second	NO
20.8	second	NO
16.4	second	NO
23.3	second	NO
17.9	second	NO
19.8	second	NO
22.9	second	NO
18.4	second	NO
21.2	second	NO
19.9	second	NO
20.1	second	NO
12.1	second	NO
8.4	second	NO
21.2	second	NO
17.3	second	NO
8.2	second	NO
10.1	second	NO
11.9	second	NO
10.1	second	NO
9.9	second	NO
17.3	second	NO
16.4	second	NO
9.8	second	NO
27.6	second	NO
18.6	second	NO
18.5	second	NO
13	second	NO
18.2	second	NO
21.9	second	NO
21.3	second	NO
13	second	NO
23.5	second	NO
26.8	second	NO
10	second	NO
18.9	second	NO
25.1	second	NO
10.3	second	NO
8.4	second	NO
9.7	second	NO
13.9	second	NO
18.6	second	NO
19.7	second	NO
14.7	second	NO
11.9	second	NO
17.3	second	NO
13.7	second	NO
21.8	second	NO
18.7	second	NO
22.4	second	NO
19.9	second	NO
11.9	second	NO
17	second	NO
7.8	second	NO
9	second	NO
11.2	second	NO
13.1	second	NO
19.2	second	NO
20.7	second	NO
14.2	second	NO
18	second	NO
16.7	second	NO
19.8	second	NO
8.5	second	NO
11.1	second	NO
12.8	second	NO
23.1	second	NO
20.2	second	NO
18.6	second	NO
17.7	second	NO
17.1	second	NO
21.9	second	NO
21.9	second	NO
23.6	second	NO
7.9	second	NO
19	second	NO
17.8	second	NO
10.5	second	NO
13.3	second	NO
16	second	NO
19.3	second	NO
8.8	second	NO
9.5	second	NO
12	second	NO
25.1	second	NO
16.9	second	NO
12.2	second	NO
12.8	second	NO
12.2	second	NO
11.8	second	NO
12.6	second	NO
14.1	second	NO
11.2	second	NO
22.1	second	NO
10.3	second	NO
24.1	second	NO
18	second	NO
19.8	second	NO
19.7	second	NO
19.6	second	NO
16.9	second	NO
12.9	second	NO
13	second	NO
12.1	second	NO
15.9	second	NO
9.4	second	NO
18.5	second	NO
14.6	second	NO
12.9	second	NO
13.3	second	NO
9.4	second	NO
12.5	second	NO
16.6	second	NO
20	second	NO
10.7	second	NO
10	second	NO
11.8	second	NO
14.1	second	NO
11	second	NO
12.4	second	NO
10.4	second	NO
11.8	second	NO
15.4	second	NO
14.4	second	NO
12.1	second	NO
13.2	second	NO
13.1	second	NO
14.2	second	NO
13.8	second	NO
9.7	second	NO
18.9	second	NO
19	second	NO
11.3	second	NO
9.2	second	NO
13.6	second	NO
10.4	second	NO
23.1	second	NO
12.1	second	NO
11.3	second	NO
10.1	second	NO
10.7	second	NO
17.8	second	NO
20.5	second	NO
9.7	second	NO
29.4	second	NO
22.4	second	NO
19.4	second	NO
19.2	second	NO
26.8	second	NO
16	second	NO
19.1	second	NO
20.6	second	NO
21.2	second	NO
27.2	second	NO
16.9	second	NO
20.7	second	NO
26	second	NO
11.8	second	NO
12.4	second	NO
24.2	second	NO
17.2	second	NO
11.8	second	NO
13.3	second	NO
10.3	second	NO
12.6	second	NO
15.6	second	NO
13.4	second	NO
11.4	second	NO
11.6	second	NO
13.1	second	NO
18.5	second	NO
12.4	second	NO
11.6	second	NO
12.5	second	NO
22.4	second	NO
12.6	second	NO
11.8	second	NO
10.2	second	NO
11.2	second	NO
9.9	second	NO
11.2	second	NO
12.2	second	NO
16.2	second	NO
27.6	second	NO
13.6	second	NO
26	second	NO
9.6	second	NO
19	second	NO
15	second	NO
12.4	second	NO
10.2	second	NO
10.8	second	NO
11.5	second	NO
13	second	NO
