lakeid,year4,sampledate,gearid,spname,length,weight,sex
TR,1981,8/19/1981,VGN019,CISCO,98,6,NA
TR,1981,8/19/1981,VGN019,CISCO,99,6,NA
TR,1981,8/19/1981,VGN019,CISCO,99,6.5,NA
TR,1981,8/19/1981,VGN019,CISCO,99,6.5,NA
TR,1981,8/19/1981,VGN019,CISCO,106,6.5,NA
TR,1981,8/19/1981,VGN019,CISCO,100,7,NA
TR,1981,8/18/1981,VGN019,CISCO,104,7,NA
TR,1981,8/19/1981,VGN019,CISCO,105,7,NA
TR,1981,8/19/1981,VGN019,CISCO,101,7.5,NA
TR,1981,8/19/1981,VGN032,CISCO,142,21,NA
TR,1981,8/18/1981,VGN032,CISCO,145,21,NA
TR,1981,8/19/1981,VGN032,CISCO,146,21,NA
TR,1981,8/18/1981,VGN032,CISCO,148,22,NA
TR,1981,8/19/1981,VGN032,CISCO,146,22.5,NA
TR,1981,8/18/1981,VGN032,CISCO,149,22.5,NA
TR,1981,8/19/1981,VGN032,CISCO,150,22.5,NA
TR,1981,8/19/1981,VGN032,CISCO,146,23,NA
TR,1981,8/19/1981,VGN032,CISCO,147,23,NA
TR,1981,8/18/1981,VGN032,CISCO,150,23,NA
TR,1981,8/19/1981,VGN032,CISCO,150,23,NA
TR,1981,8/19/1981,VGN032,CISCO,152,23,NA
TR,1981,8/19/1981,VGN032,CISCO,151,23.5,NA
TR,1981,8/19/1981,VGN032,CISCO,152,23.5,NA
TR,1981,8/11/1981,VGN032,CISCO,149,24,NA
TR,1981,8/19/1981,VGN032,CISCO,149,24,NA
TR,1981,8/18/1981,VGN032,CISCO,150,24,NA
TR,1981,8/19/1981,VGN032,CISCO,151,24,NA
TR,1981,8/19/1981,VGN032,CISCO,151,24,NA
TR,1981,8/18/1981,VGN032,CISCO,153,24,NA
TR,1981,8/19/1981,VGN032,CISCO,146,24.5,NA
TR,1981,8/19/1981,VGN032,CISCO,152,24.5,NA
TR,1981,8/19/1981,VGN032,CISCO,153,24.5,NA
TR,1981,8/19/1981,VGN032,CISCO,150,25,NA
TR,1981,8/19/1981,VGN032,CISCO,151,25,NA
TR,1981,8/19/1981,VGN032,CISCO,153,25,NA
TR,1981,8/19/1981,VGN032,CISCO,156,25,NA
TR,1981,8/18/1981,VGN032,CISCO,156,25.5,NA
TR,1981,8/19/1981,VGN032,CISCO,154,26.5,NA
TR,1981,8/18/1981,VGN032,CISCO,159,27,NA
TR,1981,8/18/1981,VGN032,CISCO,160,27.5,NA
TR,1981,8/19/1981,VGN032,CISCO,155,45,NA
TR,1981,8/18/1981,VGN038,CISCO,190,47,NA
TR,1981,8/18/1981,VGN038,CISCO,192,47,NA
TR,1981,8/12/1981,VGN038,CISCO,189,50,NA
TR,1981,8/19/1981,VGN038,CISCO,191,50,NA
TR,1981,8/19/1981,VGN038,CISCO,197,50,NA
TR,1981,8/11/1981,VGN038,CISCO,199,50,NA
TR,1981,8/19/1981,VGN032,CISCO,195,55,NA
TR,1981,8/19/1981,VGN032,CISCO,198,55,NA
TR,1981,8/19/1981,VGN032,CISCO,200,55,NA
TR,1981,8/11/1981,VGN032,CISCO,202,55,NA
TR,1981,8/19/1981,VGN038,CISCO,206,55,NA
TR,1981,8/11/1981,VGN038,CISCO,207,60,NA
TR,1981,8/19/1981,VGN038,CISCO,208,60,NA
TR,1981,8/18/1981,VGN038,CISCO,216,65,NA
TR,1981,8/19/1981,VGN019,CISCO,97,NA,NA
TR,1981,8/19/1981,VGN019,CISCO,98,NA,NA
TR,1981,8/19/1981,VGN019,CISCO,98,NA,NA
TR,1981,8/19/1981,VGN019,CISCO,99,NA,NA
TR,1981,8/18/1981,VGN032,CISCO,150,NA,NA
TR,1981,8/18/1981,VGN032,CISCO,153,NA,NA
TR,1981,8/19/1981,VGN032,CISCO,179,NA,NA
TR,1981,8/19/1981,VGN038,CISCO,191,NA,NA
TR,1981,8/18/1981,VGN038,CISCO,193,NA,NA
TR,1981,8/18/1981,VGN038,CISCO,195,NA,NA
TR,1981,8/18/1981,VGN038,CISCO,195,NA,NA
TR,1981,8/18/1981,VGN038,CISCO,196,NA,NA
TR,1981,8/19/1981,VGN038,CISCO,196,NA,NA
TR,1981,8/18/1981,VGN038,CISCO,197,NA,NA
TR,1981,8/19/1981,VGN038,CISCO,197,NA,NA
TR,1981,8/19/1981,VGN038,CISCO,197,NA,NA
TR,1981,8/19/1981,VGN032,CISCO,197,NA,NA
TR,1981,8/19/1981,VGN038,CISCO,198,NA,NA
TR,1981,8/19/1981,VGN038,CISCO,199,NA,NA
TR,1981,8/19/1981,VGN038,CISCO,199,NA,NA
TR,1981,8/18/1981,VGN038,CISCO,200,NA,NA
TR,1981,8/18/1981,VGN038,CISCO,200,NA,NA
TR,1981,8/19/1981,VGN038,CISCO,200,NA,NA
TR,1981,8/19/1981,VGN038,CISCO,201,NA,NA
TR,1981,8/18/1981,VGN038,CISCO,201,NA,NA
TR,1981,8/18/1981,VGN038,CISCO,202,NA,NA
TR,1981,8/18/1981,VGN032,CISCO,206,NA,NA
TR,1981,8/18/1981,VGN032,CISCO,206,NA,NA
TR,1981,8/19/1981,VGN038,CISCO,206,NA,NA
TR,1981,8/18/1981,VGN038,CISCO,207,NA,NA
TR,1981,8/18/1981,VGN038,CISCO,207,NA,NA
TR,1981,8/18/1981,VGN038,CISCO,208,NA,NA
TR,1981,8/19/1981,VGN038,CISCO,208,NA,NA
TR,1981,8/18/1981,VGN032,CISCO,209,NA,NA
TR,1981,8/19/1981,VGN038,CISCO,209,NA,NA
TR,1981,8/12/1981,TRAMML,CISCO,221,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,158,29,F
TR,1982,7/29/1982,VGN032,CISCO,159,30,F
TR,1982,7/29/1982,VGN038,CISCO,167,39,F
TR,1982,7/29/1982,VGN038,CISCO,174,39,F
TR,1982,7/29/1982,VGN038,CISCO,171,40,F
TR,1982,7/29/1982,VGN038,CISCO,176,41,F
TR,1982,7/29/1982,VGN038,CISCO,179,42,F
TR,1982,7/29/1982,VGN038,CISCO,179,42,F
TR,1982,7/29/1982,VGN038,CISCO,174,43,F
TR,1982,7/29/1982,VGN038,CISCO,180,44,F
TR,1982,7/29/1982,VGN032,CISCO,181,46,F
TR,1982,7/29/1982,VGN032,CISCO,186,46,F
TR,1982,7/29/1982,VGN038,CISCO,202,60,F
TR,1982,7/29/1982,VGN038,CISCO,205,61,F
TR,1982,7/29/1982,VGN038,CISCO,209,61,F
TR,1982,7/29/1982,VGN038,CISCO,203,62,F
TR,1982,7/29/1982,VGN038,CISCO,205,63,F
TR,1982,7/30/1982,VGN051,CISCO,228,86,F
TR,1982,7/29/1982,VGN038,CISCO,226,96,F
TR,1982,7/29/1982,VGN038,CISCO,244,125,F
TR,1982,7/29/1982,VGN038,CISCO,189,NA,F
TR,1982,7/29/1982,VGN038,CISCO,178,41,M
TR,1982,7/29/1982,VGN038,CISCO,180,41,M
TR,1982,7/29/1982,VGN038,CISCO,183,43,M
TR,1982,7/29/1982,VGN032,CISCO,197,55,M
TR,1982,7/29/1982,VGN032,CISCO,203,55,M
TR,1982,7/29/1982,VGN038,CISCO,190,56,M
TR,1982,7/29/1982,VGN032,CISCO,200,65,M
TR,1982,7/29/1982,VGN019,CISCO,80,3.4,NA
TR,1982,7/30/1982,VGN038,CISCO,161,35,NA
TR,1982,7/29/1982,VGN032,CISCO,164,35,NA
TR,1982,7/30/1982,VGN038,CISCO,165,36,NA
TR,1982,7/30/1982,VGN038,CISCO,166,36,NA
TR,1982,7/29/1982,VGN032,CISCO,168,36,NA
TR,1982,7/30/1982,VGN038,CISCO,169,37,NA
TR,1982,7/29/1982,VGN038,CISCO,173,37,NA
TR,1982,7/29/1982,VGN038,CISCO,167,39,NA
TR,1982,7/30/1982,VGN038,CISCO,167,39,NA
TR,1982,7/30/1982,VGN038,CISCO,167,39,NA
TR,1982,7/29/1982,VGN032,CISCO,168,39,NA
TR,1982,7/29/1982,VGN032,CISCO,175,39,NA
TR,1982,7/29/1982,VGN038,CISCO,174,40,NA
TR,1982,7/28/1982,VGN032,CISCO,177,40,NA
TR,1982,7/29/1982,VGN025,CISCO,169,41,NA
TR,1982,7/29/1982,VGN032,CISCO,173,41,NA
TR,1982,7/29/1982,VGN032,CISCO,174,41,NA
TR,1982,7/29/1982,VGN032,CISCO,170,42,NA
TR,1982,7/29/1982,VGN032,CISCO,171,42,NA
TR,1982,7/29/1982,VGN038,CISCO,174,42,NA
TR,1982,7/29/1982,VGN032,CISCO,178,42,NA
TR,1982,7/29/1982,VGN032,CISCO,177,43,NA
TR,1982,7/29/1982,VGN038,CISCO,180,43,NA
TR,1982,7/30/1982,VGN038,CISCO,181,43,NA
TR,1982,7/28/1982,VGN038,CISCO,188,43,NA
TR,1982,7/29/1982,VGN032,CISCO,180,44,NA
TR,1982,7/29/1982,VGN038,CISCO,183,44,NA
TR,1982,7/28/1982,VGN038,CISCO,190,49,NA
TR,1982,7/30/1982,VGN038,CISCO,188,52,NA
TR,1982,7/30/1982,VGN038,CISCO,196,52,NA
TR,1982,7/29/1982,VGN032,CISCO,190,53,NA
TR,1982,7/30/1982,VGN038,CISCO,194,53,NA
TR,1982,7/29/1982,VGN038,CISCO,188,54,NA
TR,1982,7/29/1982,VGN038,CISCO,198,54,NA
TR,1982,7/28/1982,VGN038,CISCO,202,54,NA
TR,1982,7/28/1982,VGN038,CISCO,199,55,NA
TR,1982,7/30/1982,VGN038,CISCO,195,56,NA
TR,1982,7/28/1982,VGN038,CISCO,205,58,NA
TR,1982,7/29/1982,VGN038,CISCO,200,59,NA
TR,1982,7/30/1982,VGN038,CISCO,204,59,NA
TR,1982,7/28/1982,VGN038,CISCO,204,60,NA
TR,1982,7/28/1982,VGN038,CISCO,205,60,NA
TR,1982,7/30/1982,VGN038,CISCO,199,61,NA
TR,1982,7/28/1982,VGN032,CISCO,205,61,NA
TR,1982,7/28/1982,VGN038,CISCO,208,61,NA
TR,1982,7/28/1982,VGN032,CISCO,201,62,NA
TR,1982,7/30/1982,VGN038,CISCO,210,62,NA
TR,1982,7/28/1982,VGN038,CISCO,215,62,NA
TR,1982,7/28/1982,VGN032,CISCO,200,64,NA
TR,1982,7/30/1982,VGN038,CISCO,206,65,NA
TR,1982,7/30/1982,VGN038,CISCO,214,65,NA
TR,1982,7/30/1982,VGN038,CISCO,210,66,NA
TR,1982,7/30/1982,VGN038,CISCO,212,72,NA
TR,1982,7/30/1982,VGN032,CISCO,219,75,NA
TR,1982,7/30/1982,VGN038,CISCO,219,79,NA
TR,1982,7/30/1982,VGN038,CISCO,225,83,NA
TR,1982,7/30/1982,VGN032,CISCO,155,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,157,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,158,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,159,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,160,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,161,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,163,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,163,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,165,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,165,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,165,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,165,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,166,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,166,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,166,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,166,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,167,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,167,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,167,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,167,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,167,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,167,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,167,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,168,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,168,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,168,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,168,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,168,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,168,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,168,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,168,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,169,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,169,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,169,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,169,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,170,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,170,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,170,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,170,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,170,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,170,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,170,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,170,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,170,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,170,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,170,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,170,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,170,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,170,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,171,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,171,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,171,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,171,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,171,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,171,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,172,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,172,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,172,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,172,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,172,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,172,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,172,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,172,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,172,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,172,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,172,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,172,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,172,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,172,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,172,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,172,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,173,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,173,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,173,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,173,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,173,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,173,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,173,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,173,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,173,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,173,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,173,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,174,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,174,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,174,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,174,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,175,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,175,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,175,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,175,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,175,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,175,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,175,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,175,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,175,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,175,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,175,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,175,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,175,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,175,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,175,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,175,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,176,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,176,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,176,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,176,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,176,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,176,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,176,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,176,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,177,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,177,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,177,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,177,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,177,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,177,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,177,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,177,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,177,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,177,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,178,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,178,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,178,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,178,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,178,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,178,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,178,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,178,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,178,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,178,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,178,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,179,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,179,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,179,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,179,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,179,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,179,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,179,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,179,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,181,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,182,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,182,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,183,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,184,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,184,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,185,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,186,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,186,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,188,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,188,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,188,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,188,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,190,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,190,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,190,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,191,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,191,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,191,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,191,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,192,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,192,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,192,NA,NA
TR,1982,7/29/1982,VGN032,CISCO,193,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,193,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,193,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,194,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,194,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,195,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,195,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,195,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,197,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,197,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,198,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,198,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,198,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,199,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,199,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,199,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,200,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,200,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,200,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,200,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,202,NA,NA
TR,1982,7/30/1982,VGN032,CISCO,202,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,205,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,205,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,205,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,207,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,207,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,207,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,207,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,207,NA,NA
TR,1982,7/29/1982,VGN038,CISCO,208,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,208,NA,NA
TR,1982,7/30/1982,VGN038,CISCO,209,NA,NA
