fin	scale	lake
3	3	Dezadeash
3	3	Dezadeash
4	3	Dezadeash
4	3	Dezadeash
4	3	Dezadeash
5	3	Dezadeash
5	3	Dezadeash
5	3	Dezadeash
5	3	Dezadeash
5	3	Dezadeash
5	3	Dezadeash
5	3	Dezadeash
6	3	Dezadeash
6	3	Dezadeash
6	3	Dezadeash
3	4	Dezadeash
4	4	Dezadeash
5	4	Dezadeash
5	4	Dezadeash
5	4	Dezadeash
5	4	Dezadeash
5	4	Dezadeash
5	4	Dezadeash
5	4	Dezadeash
5	4	Dezadeash
5	4	Dezadeash
5	4	Dezadeash
5	4	Dezadeash
5	4	Dezadeash
5	4	Dezadeash
6	4	Dezadeash
6	4	Dezadeash
6	4	Dezadeash
6	4	Dezadeash
6	4	Dezadeash
6	4	Dezadeash
6	4	Dezadeash
6	4	Dezadeash
7	4	Dezadeash
7	4	Dezadeash
7	4	Dezadeash
7	4	Dezadeash
7	4	Dezadeash
7	4	Dezadeash
8	4	Dezadeash
8	4	Dezadeash
8	4	Dezadeash
8	4	Dezadeash
8	4	Dezadeash
10	4	Dezadeash
5	5	Dezadeash
6	5	Dezadeash
6	5	Dezadeash
7	5	Dezadeash
7	5	Dezadeash
7	5	Dezadeash
7	5	Dezadeash
7	5	Dezadeash
7	5	Dezadeash
7	5	Dezadeash
7	5	Dezadeash
7	5	Dezadeash
7	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
8	5	Dezadeash
9	5	Dezadeash
9	5	Dezadeash
9	5	Dezadeash
9	5	Dezadeash
9	5	Dezadeash
9	5	Dezadeash
10	5	Dezadeash
10	5	Dezadeash
10	5	Dezadeash
11	5	Dezadeash
11	5	Dezadeash
12	5	Dezadeash
12	5	Dezadeash
6	6	Dezadeash
8	6	Dezadeash
8	6	Dezadeash
8	6	Dezadeash
8	6	Dezadeash
9	6	Dezadeash
9	6	Dezadeash
10	6	Dezadeash
10	6	Dezadeash
10	6	Dezadeash
10	6	Dezadeash
10	6	Dezadeash
11	6	Dezadeash
11	6	Dezadeash
11	6	Dezadeash
11	6	Dezadeash
11	6	Dezadeash
11	6	Dezadeash
12	6	Dezadeash
12	6	Dezadeash
14	6	Dezadeash
16	6	Dezadeash
8	7	Dezadeash
9	7	Dezadeash
10	7	Dezadeash
10	7	Dezadeash
10	7	Dezadeash
10	7	Dezadeash
11	7	Dezadeash
11	7	Dezadeash
11	7	Dezadeash
11	7	Dezadeash
11	7	Dezadeash
11	7	Dezadeash
11	7	Dezadeash
13	7	Dezadeash
11	8	Dezadeash
13	8	Dezadeash
15	8	Dezadeash
13	9	Dezadeash
2	2	L122
2	3	L122
2	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	3	L122
3	4	L122
3	4	L122
3	4	L122
3	4	L122
3	4	L122
3	5	L122
4	2	L122
4	2	L122
4	2	L122
4	2	L122
4	2	L122
4	2	L122
4	2	L122
4	2	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	3	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	4	L122
4	5	L122
4	5	L122
4	6	L122
4	6	L122
4	6	L122
4	7	L122
4	7	L122
4	7	L122
4	7	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	3	L122
5	4	L122
5	4	L122
5	4	L122
5	4	L122
5	4	L122
5	4	L122
5	4	L122
5	4	L122
5	5	L122
5	5	L122
5	5	L122
5	6	L122
5	6	L122
5	6	L122
5	6	L122
5	6	L122
5	6	L122
5	6	L122
5	6	L122
5	6	L122
5	7	L122
5	7	L122
6	2	L122
6	3	L122
6	4	L122
6	4	L122
6	5	L122
6	5	L122
6	6	L122
6	6	L122
6	6	L122
6	6	L122
6	6	L122
6	6	L122
6	6	L122
6	7	L122
6	7	L122
6	7	L122
6	7	L122
6	7	L122
7	3	L122
7	3	L122
7	3	L122
7	3	L122
7	4	L122
7	6	L122
7	6	L122
7	7	L122
7	7	L122
7	7	L122
7	7	L122
7	7	L122
7	8	L122
7	8	L122
8	8	L122
1	1	Huron
1	1	Huron
1	1	Huron
1	1	Huron
1	1	Huron
1	1	Huron
1	1	Huron
1	1	Huron
1	1	Huron
1	1	Huron
1	1	Huron
1	1	Huron
1	1	Huron
2	1	Huron
2	1	Huron
2	1	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
2	2	Huron
3	2	Huron
3	2	Huron
2	3	Huron
3	3	Huron
3	3	Huron
3	3	Huron
3	3	Huron
3	3	Huron
3	3	Huron
3	3	Huron
3	3	Huron
3	3	Huron
3	3	Huron
3	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
4	4	Huron
5	5	Huron
5	5	Huron
5	5	Huron
5	5	Huron
5	5	Huron
5	5	Huron
6	6	Huron
