# HermanLake.txt
#
# Data were extracted from a South Dakota Fish and Game report at 
#   http://www.sdgfp.info/Wildlife/fishing/SELakes/Herman05.pdf.		
#
# Lake Herman was sampled on June 20-22, 2005 with four overnight gill-net sets and 10
#   overnight trap-net sets. The trap nets are constructed with 19-mm-bar-mesh (0.75 in)
#   netting, 0.9 m high x 1.5 m wide (3 ft high x 5 ft wide) frames and 18.3 m (60 ft) long
#   leads. The gillnets are 45.7 m long x 1.8 m deep (150 ft long x 6 ft deep) with one 7.6 m 
#   (25 ft) panel each of 13, 19, 25, 32, 38 and 51-mm-bar-mesh (0.5, 0.75, 1, 1.25, 1.5, and 2
#   in) monofilament netting.
#
# tl: total length (cm)
# spec: species code (wae=walleye, yep=yellow perch; bkc=black crappie; bbh=black bullhead)
# yr: year of capture
#
tl	spec	yr
26.7	wae	2005
26.4	wae	2005
26.8	wae	2005
26.8	wae	2005
26.6	wae	2005
26.6	wae	2005
26.4	wae	2005
27.4	wae	2005
27.8	wae	2005
27.3	wae	2005
27.2	wae	2005
27.5	wae	2005
28.9	wae	2005
29.8	wae	2005
47.4	wae	2005
71.7	wae	2005
14.5	yep	1999
16.0	yep	1999
17.3	yep	1999
19.5	yep	1999
19.1	yep	1999
19.2	yep	1999
19.7	yep	1999
19.4	yep	1999
19.6	yep	1999
19.5	yep	1999
19.7	yep	1999
20.8	yep	1999
20.4	yep	1999
21.5	yep	1999
21.2	yep	1999
22.2	yep	1999
22.4	yep	1999
22.9	yep	1999
23.7	yep	1999
23.0	yep	1999
23.3	yep	1999
24.9	yep	1999
24.8	yep	1999
24.6	yep	1999
24.5	yep	1999
25.3	yep	1999
25.6	yep	1999
25.8	yep	1999
26.6	yep	1999
26.1	yep	1999
26.2	yep	1999
26.8	yep	1999
26.1	yep	1999
26.6	yep	1999
26.1	yep	1999
26.3	yep	1999
26.5	yep	1999
26.8	yep	1999
27.6	yep	1999
27.0	yep	1999
27.7	yep	1999
27.1	yep	1999
27.1	yep	1999
27.3	yep	1999
27.9	yep	1999
27.7	yep	1999
27.7	yep	1999
28.3	yep	1999
29.5	yep	1999
29.8	yep	1999
13.6	yep	2001
14.5	yep	2001
14.5	yep	2001
14.5	yep	2001
15.7	yep	2001
15.1	yep	2001
15.7	yep	2001
15.1	yep	2001
15.7	yep	2001
20.5	yep	2001
20.4	yep	2001
20.8	yep	2001
20.4	yep	2001
20.2	yep	2001
20.0	yep	2001
21.8	yep	2001
21.4	yep	2001
21.8	yep	2001
21.8	yep	2001
21.1	yep	2001
21.2	yep	2001
21.3	yep	2001
21.6	yep	2001
21.8	yep	2001
21.4	yep	2001
22.7	yep	2001
22.7	yep	2001
22.9	yep	2001
22.3	yep	2001
22.0	yep	2001
22.2	yep	2001
22.1	yep	2001
22.8	yep	2001
22.9	yep	2001
22.6	yep	2001
22.3	yep	2001
22.3	yep	2001
22.8	yep	2001
22.9	yep	2001
22.4	yep	2001
22.0	yep	2001
23.3	yep	2001
23.9	yep	2001
23.5	yep	2001
23.2	yep	2001
23.2	yep	2001
23.9	yep	2001
23.7	yep	2001
23.3	yep	2001
24.0	yep	2001
24.4	yep	2001
25.2	yep	2001
27.2	yep	2001
29.2	yep	2001
16.6	yep	2001
18.4	yep	2003
19.8	yep	2003
19.0	yep	2003
19.5	yep	2003
20.2	yep	2003
20.7	yep	2003
20.8	yep	2003
20.7	yep	2003
20.8	yep	2003
20.2	yep	2003
20.2	yep	2003
20.5	yep	2003
21.5	yep	2003
21.1	yep	2003
21.7	yep	2003
21.1	yep	2003
21.4	yep	2003
21.7	yep	2003
21.1	yep	2003
21.5	yep	2003
22.7	yep	2003
22.4	yep	2003
22.5	yep	2003
22.2	yep	2003
22.0	yep	2003
22.7	yep	2003
22.3	yep	2003
22.8	yep	2003
22.6	yep	2003
22.1	yep	2003
22.1	yep	2003
22.7	yep	2003
22.3	yep	2003
22.7	yep	2003
22.1	yep	2003
22.4	yep	2003
22.3	yep	2003
22.6	yep	2003
22.0	yep	2003
22.9	yep	2003
22.2	yep	2003
22.2	yep	2003
22.5	yep	2003
22.2	yep	2003
22.9	yep	2003
22.5	yep	2003
22.2	yep	2003
23.2	yep	2003
23.4	yep	2003
23.4	yep	2003
23.7	yep	2003
23.1	yep	2003
23.7	yep	2003
23.7	yep	2003
23.1	yep	2003
23.4	yep	2003
23.5	yep	2003
23.5	yep	2003
23.6	yep	2003
23.5	yep	2003
23.3	yep	2003
23.3	yep	2003
23.3	yep	2003
23.0	yep	2003
23.4	yep	2003
23.8	yep	2003
23.5	yep	2003
23.7	yep	2003
23.6	yep	2003
23.1	yep	2003
23.4	yep	2003
23.6	yep	2003
23.7	yep	2003
23.8	yep	2003
23.0	yep	2003
23.3	yep	2003
23.9	yep	2003
23.8	yep	2003
23.7	yep	2003
23.5	yep	2003
23.1	yep	2003
23.5	yep	2003
23.3	yep	2003
23.6	yep	2003
24.8	yep	2003
24.7	yep	2003
24.1	yep	2003
24.0	yep	2003
24.4	yep	2003
24.4	yep	2003
24.9	yep	2003
24.9	yep	2003
24.7	yep	2003
24.5	yep	2003
24.7	yep	2003
24.2	yep	2003
24.2	yep	2003
24.8	yep	2003
24.3	yep	2003
24.0	yep	2003
24.5	yep	2003
24.7	yep	2003
25.2	yep	2003
25.6	yep	2003
25.1	yep	2003
25.9	yep	2003
25.9	yep	2003
25.1	yep	2003
26.3	yep	2003
26.9	yep	2003
27.6	yep	2003
29.1	yep	2003
29.4	yep	2003
11.6	yep	2005
12.3	yep	2005
13.3	yep	2005
13.4	yep	2005
13.2	yep	2005
13.3	yep	2005
13.4	yep	2005
14.6	yep	2005
14.7	yep	2005
23.2	yep	2005
23.3	yep	2005
24.3	yep	2005
24.8	yep	2005
24.4	yep	2005
24.0	yep	2005
25.2	yep	2005
25.3	yep	2005
26.8	yep	2005
26.1	yep	2005
27.6	yep	2005
27.8	yep	2005
27.6	yep	2005
27.9	yep	2005
27.7	yep	2005
27.4	yep	2005
27.7	yep	2005
28.0	yep	2005
28.7	yep	2005
28.2	yep	2005
28.8	yep	2005
28.3	yep	2005
28.5	yep	2005
28.2	yep	2005
28.4	yep	2005
28.2	yep	2005
28.2	yep	2005
28.4	yep	2005
28.2	yep	2005
29.3	yep	2005
29.4	yep	2005
29.8	yep	2005
29.4	yep	2005
29.1	yep	2005
29.2	yep	2005
29.2	yep	2005
29.2	yep	2005
29.7	yep	2005
29.5	yep	2005
29.4	yep	2005
30.2	yep	2005
30.8	yep	2005
31.9	yep	2005
19.1	bkc	1997
20.1	bkc	1997
20.8	bkc	1997
21.7	bkc	1997
21.9	bkc	1997
21.6	bkc	1997
21.6	bkc	1997
21.1	bkc	1997
21.7	bkc	1997
22	bkc	1997
22.3	bkc	1997
22.5	bkc	1997
22.3	bkc	1997
23.2	bkc	1997
23.3	bkc	1997
23.4	bkc	1997
23.8	bkc	1997
24.3	bkc	1997
24.3	bkc	1997
24.3	bkc	1997
24.1	bkc	1997
24.7	bkc	1997
24	bkc	1997
24.8	bkc	1997
24.7	bkc	1997
25.1	bkc	1997
25.8	bkc	1997
25.3	bkc	1997
25.7	bkc	1997
25.8	bkc	1997
25.8	bkc	1997
25.1	bkc	1997
25	bkc	1997
25.1	bkc	1997
25.7	bkc	1997
25.9	bkc	1997
25.2	bkc	1997
25.2	bkc	1997
25.4	bkc	1997
25.3	bkc	1997
25.7	bkc	1997
25.2	bkc	1997
25.3	bkc	1997
25.1	bkc	1997
25.7	bkc	1997
25.2	bkc	1997
25.7	bkc	1997
25.8	bkc	1997
26	bkc	1997
26.7	bkc	1997
26.5	bkc	1997
26.5	bkc	1997
26.2	bkc	1997
26	bkc	1997
26.3	bkc	1997
26.8	bkc	1997
26.2	bkc	1997
26.3	bkc	1997
26.5	bkc	1997
26.2	bkc	1997
27.9	bkc	1997
27.5	bkc	1997
27	bkc	1997
27.9	bkc	1997
28.7	bkc	1997
30.7	bkc	1997
17.4	bkc	2001
18.2	bkc	2001
18.6	bkc	2001
19.2	bkc	2001
19.8	bkc	2001
19.9	bkc	2001
19.4	bkc	2001
19.7	bkc	2001
19.8	bkc	2001
19.3	bkc	2001
19.7	bkc	2001
19.2	bkc	2001
19.6	bkc	2001
19	bkc	2001
19.4	bkc	2001
19.4	bkc	2001
19.8	bkc	2001
19.2	bkc	2001
20.4	bkc	2001
20.9	bkc	2001
20.7	bkc	2001
20.9	bkc	2001
20.2	bkc	2001
20.4	bkc	2001
20.9	bkc	2001
20.1	bkc	2001
20.2	bkc	2001
20.6	bkc	2001
20.5	bkc	2001
20.1	bkc	2001
21	bkc	2001
21.8	bkc	2001
21.2	bkc	2001
21.1	bkc	2001
21.1	bkc	2001
21.6	bkc	2001
21.7	bkc	2001
21.8	bkc	2001
21	bkc	2001
21.4	bkc	2001
21.5	bkc	2001
21.5	bkc	2001
21.2	bkc	2001
21.8	bkc	2001
21.2	bkc	2001
21.7	bkc	2001
21.5	bkc	2001
21.1	bkc	2001
21.2	bkc	2001
21.2	bkc	2001
21.9	bkc	2001
21.1	bkc	2001
21.1	bkc	2001
21.1	bkc	2001
21.6	bkc	2001
21.3	bkc	2001
22.7	bkc	2001
22	bkc	2001
22.3	bkc	2001
22.1	bkc	2001
22.7	bkc	2001
22.4	bkc	2001
22.7	bkc	2001
22.7	bkc	2001
22.4	bkc	2001
22.1	bkc	2001
22.1	bkc	2001
22.8	bkc	2001
22.1	bkc	2001
22.6	bkc	2001
22.9	bkc	2001
22.4	bkc	2001
22.5	bkc	2001
22	bkc	2001
22.7	bkc	2001
22.3	bkc	2001
22.3	bkc	2001
22.5	bkc	2001
22.6	bkc	2001
22.6	bkc	2001
22.2	bkc	2001
22.5	bkc	2001
22	bkc	2001
22	bkc	2001
23.8	bkc	2001
23.4	bkc	2001
23.1	bkc	2001
23.7	bkc	2001
23.2	bkc	2001
23.2	bkc	2001
23.2	bkc	2001
23.3	bkc	2001
23.1	bkc	2001
23.2	bkc	2001
23.1	bkc	2001
23.3	bkc	2001
24.5	bkc	2001
24.2	bkc	2001
24.6	bkc	2001
25.5	bkc	2001
19.6	bkc	2003
20.4	bkc	2003
20.3	bkc	2003
21.4	bkc	2003
21.2	bkc	2003
21.8	bkc	2003
21.3	bkc	2003
21.4	bkc	2003
21	bkc	2003
21.5	bkc	2003
21.5	bkc	2003
21.1	bkc	2003
21.6	bkc	2003
21.3	bkc	2003
21.4	bkc	2003
21.2	bkc	2003
21.7	bkc	2003
21.2	bkc	2003
22.2	bkc	2003
22.4	bkc	2003
22.2	bkc	2003
22.7	bkc	2003
22.6	bkc	2003
22.6	bkc	2003
22.2	bkc	2003
22.3	bkc	2003
22.6	bkc	2003
22.6	bkc	2003
22.3	bkc	2003
22.5	bkc	2003
23.8	bkc	2003
23	bkc	2003
23.3	bkc	2003
23.7	bkc	2003
23.6	bkc	2003
23.3	bkc	2003
23.1	bkc	2003
23.8	bkc	2003
23.2	bkc	2003
23.7	bkc	2003
23.2	bkc	2003
23.1	bkc	2003
23.2	bkc	2003
23.7	bkc	2003
23.6	bkc	2003
23.4	bkc	2003
23.3	bkc	2003
23.4	bkc	2003
23.2	bkc	2003
23.8	bkc	2003
23.3	bkc	2003
23.4	bkc	2003
23	bkc	2003
23.5	bkc	2003
23.5	bkc	2003
23.1	bkc	2003
24.6	bkc	2003
24.3	bkc	2003
24.4	bkc	2003
24.2	bkc	2003
24.7	bkc	2003
24.2	bkc	2003
24.2	bkc	2003
24.4	bkc	2003
24.2	bkc	2003
24.7	bkc	2003
24.6	bkc	2003
24.6	bkc	2003
24.2	bkc	2003
24.3	bkc	2003
24.6	bkc	2003
24.6	bkc	2003
24.3	bkc	2003
24.5	bkc	2003
24.8	bkc	2003
24	bkc	2003
24.3	bkc	2003
24.7	bkc	2003
24.6	bkc	2003
24.3	bkc	2003
24.1	bkc	2003
24.8	bkc	2003
24.2	bkc	2003
24.7	bkc	2003
28.2	bkc	2003
28.1	bkc	2003
28.2	bkc	2003
28.7	bkc	2003
28.6	bkc	2003
28.4	bkc	2003
28.3	bkc	2003
28.4	bkc	2003
28.2	bkc	2003
28.8	bkc	2003
28.3	bkc	2003
28.4	bkc	2003
29	bkc	2003
29.5	bkc	2003
29.5	bkc	2003
31.1	bkc	2003
17.3	bkc	2005
19.6	bkc	2005
16.3	bbh	1999
16.6	bbh	1999
18.2	bbh	1999
19.8	bbh	1999
20.4	bbh	1999
20.3	bbh	1999
21.5	bbh	1999
21.9	bbh	1999
23.5	bbh	1999
23.3	bbh	1999
25.1	bbh	1999
25.8	bbh	1999
26.2	bbh	1999
26.8	bbh	1999
26.9	bbh	1999
27.5	bbh	1999
27	bbh	1999
27.5	bbh	1999
27.8	bbh	1999
27.7	bbh	1999
28.7	bbh	1999
28	bbh	1999
28.7	bbh	1999
28.4	bbh	1999
28.4	bbh	1999
28.5	bbh	1999
28.8	bbh	1999
28.6	bbh	1999
28.5	bbh	1999
28.8	bbh	1999
28.2	bbh	1999
28.2	bbh	1999
28.4	bbh	1999
28.2	bbh	1999
28.3	bbh	1999
28.5	bbh	1999
28.7	bbh	1999
28.7	bbh	1999
28.7	bbh	1999
28.8	bbh	1999
28.3	bbh	1999
28.1	bbh	1999
28.2	bbh	1999
29.7	bbh	1999
29.3	bbh	1999
29.8	bbh	1999
29.8	bbh	1999
29.1	bbh	1999
29.8	bbh	1999
29.3	bbh	1999
29.6	bbh	1999
29.3	bbh	1999
29.5	bbh	1999
29.4	bbh	1999
29.4	bbh	1999
29.8	bbh	1999
29.5	bbh	1999
29.4	bbh	1999
29.9	bbh	1999
29.3	bbh	1999
29.2	bbh	1999
29.7	bbh	1999
29.9	bbh	1999
29.8	bbh	1999
29.9	bbh	1999
30.8	bbh	1999
30.6	bbh	1999
30.6	bbh	1999
30.2	bbh	1999
30.7	bbh	1999
30.2	bbh	1999
30.5	bbh	1999
30.8	bbh	1999
30.5	bbh	1999
30.8	bbh	1999
30.3	bbh	1999
30.1	bbh	1999
30.4	bbh	1999
30.8	bbh	1999
30.2	bbh	1999
30.8	bbh	1999
30.7	bbh	1999
30.3	bbh	1999
30.1	bbh	1999
31.4	bbh	1999
31.3	bbh	1999
31.9	bbh	1999
31.8	bbh	1999
31.1	bbh	1999
31.4	bbh	1999
31	bbh	1999
31.1	bbh	1999
31.6	bbh	1999
31.1	bbh	1999
32	bbh	1999
32.1	bbh	1999
32.8	bbh	1999
33.7	bbh	1999
35.4	bbh	1999
16.6	bbh	2001
17.8	bbh	2001
18.8	bbh	2001
21.8	bbh	2001
21.2	bbh	2001
23.4	bbh	2001
23.1	bbh	2001
26.2	bbh	2001
26.7	bbh	2001
26.5	bbh	2001
26.2	bbh	2001
26.5	bbh	2001
26.5	bbh	2001
26.8	bbh	2001
27.7	bbh	2001
27.2	bbh	2001
27.3	bbh	2001
27	bbh	2001
27.4	bbh	2001
27.3	bbh	2001
27.5	bbh	2001
27.6	bbh	2001
27.1	bbh	2001
27.5	bbh	2001
27.3	bbh	2001
27.8	bbh	2001
28.1	bbh	2001
28.5	bbh	2001
28.9	bbh	2001
28.2	bbh	2001
28.7	bbh	2001
28	bbh	2001
28.2	bbh	2001
28.3	bbh	2001
28.1	bbh	2001
28.8	bbh	2001
28.5	bbh	2001
28.8	bbh	2001
28.4	bbh	2001
28.1	bbh	2001
28.5	bbh	2001
28.9	bbh	2001
28.1	bbh	2001
28.7	bbh	2001
29.8	bbh	2001
29.5	bbh	2001
29	bbh	2001
29.8	bbh	2001
29.1	bbh	2001
29.7	bbh	2001
29.1	bbh	2001
29.4	bbh	2001
29.3	bbh	2001
29.2	bbh	2001
29.2	bbh	2001
29.3	bbh	2001
29.8	bbh	2001
29	bbh	2001
29.3	bbh	2001
29	bbh	2001
30.7	bbh	2001
30	bbh	2001
30.7	bbh	2001
30.8	bbh	2001
30.3	bbh	2001
30.1	bbh	2001
30.2	bbh	2001
30.2	bbh	2001
30.5	bbh	2001
30.1	bbh	2001
30.1	bbh	2001
30.6	bbh	2001
30.6	bbh	2001
30.3	bbh	2001
31.6	bbh	2001
31.1	bbh	2001
31.6	bbh	2001
31.2	bbh	2001
31.4	bbh	2001
31.1	bbh	2001
31.8	bbh	2001
31.7	bbh	2001
31.3	bbh	2001
31.1	bbh	2001
31.4	bbh	2001
32.2	bbh	2001
32.4	bbh	2001
32.6	bbh	2001
32.4	bbh	2001
32.3	bbh	2001
32.2	bbh	2001
32.3	bbh	2001
32.7	bbh	2001
32.2	bbh	2001
33.8	bbh	2001
33.5	bbh	2001
33.8	bbh	2001
33.3	bbh	2001
33.1	bbh	2001
33.8	bbh	2001
19.4	bbh	2003
19.8	bbh	2003
19.8	bbh	2003
19.3	bbh	2003
19.9	bbh	2003
19.1	bbh	2003
19	bbh	2003
19.7	bbh	2003
19.1	bbh	2003
19.8	bbh	2003
19.3	bbh	2003
19.9	bbh	2003
19.8	bbh	2003
19.1	bbh	2003
19.6	bbh	2003
19.4	bbh	2003
19.3	bbh	2003
19.3	bbh	2003
19.5	bbh	2003
19.8	bbh	2003
19.5	bbh	2003
19.1	bbh	2003
19.5	bbh	2003
19.7	bbh	2003
19.1	bbh	2003
19.4	bbh	2003
19.4	bbh	2003
19.2	bbh	2003
19	bbh	2003
19.4	bbh	2003
19.7	bbh	2003
19.6	bbh	2003
19.7	bbh	2003
19.2	bbh	2003
19.8	bbh	2003
19.4	bbh	2003
19.9	bbh	2003
19.2	bbh	2003
19.5	bbh	2003
19.5	bbh	2003
19.8	bbh	2003
19.7	bbh	2003
19.1	bbh	2003
19.1	bbh	2003
19.8	bbh	2003
19.1	bbh	2003
19.2	bbh	2003
19.7	bbh	2003
19.2	bbh	2003
19.4	bbh	2003
19.3	bbh	2003
19.8	bbh	2003
21.4	bbh	2003
21.8	bbh	2003
21.1	bbh	2003
21.2	bbh	2003
21.2	bbh	2003
21.8	bbh	2003
21.9	bbh	2003
21.5	bbh	2003
21.4	bbh	2003
21.8	bbh	2003
21.4	bbh	2003
21.5	bbh	2003
21.5	bbh	2003
21.9	bbh	2003
21.3	bbh	2003
21.5	bbh	2003
21	bbh	2003
21.8	bbh	2003
21.3	bbh	2003
21.9	bbh	2003
21.3	bbh	2003
21.5	bbh	2003
21.7	bbh	2003
21.8	bbh	2003
21.3	bbh	2003
21.8	bbh	2003
21.4	bbh	2003
21.4	bbh	2003
21.7	bbh	2003
21.8	bbh	2003
21.3	bbh	2003
21.6	bbh	2003
21.3	bbh	2003
21.9	bbh	2003
21.4	bbh	2003
21.1	bbh	2003
21.3	bbh	2003
21.5	bbh	2003
21.2	bbh	2003
21.5	bbh	2003
21.4	bbh	2003
21.7	bbh	2003
21.5	bbh	2003
21.4	bbh	2003
21.9	bbh	2003
21.2	bbh	2003
21.6	bbh	2003
21.9	bbh	2003
21.3	bbh	2003
21.8	bbh	2003
21.7	bbh	2003
21	bbh	2003
22.8	bbh	2003
22.6	bbh	2003
22	bbh	2003
22.5	bbh	2003
22.5	bbh	2003
22.1	bbh	2003
22.4	bbh	2003
22.7	bbh	2003
22	bbh	2003
22.3	bbh	2003
22.3	bbh	2003
22.5	bbh	2003
22.5	bbh	2003
22.3	bbh	2003
22.4	bbh	2003
22.8	bbh	2003
22.4	bbh	2003
22.1	bbh	2003
22.7	bbh	2003
22.6	bbh	2003
22.3	bbh	2003
22.3	bbh	2003
22.3	bbh	2003
22.3	bbh	2003
22.8	bbh	2003
22.4	bbh	2003
22.9	bbh	2003
22.4	bbh	2003
22.9	bbh	2003
22.8	bbh	2003
22.2	bbh	2003
22.9	bbh	2003
22.3	bbh	2003
22.8	bbh	2003
22.7	bbh	2003
22	bbh	2003
22.3	bbh	2003
22.2	bbh	2003
22.7	bbh	2003
22	bbh	2003
22.4	bbh	2003
22.2	bbh	2003
22.2	bbh	2003
22.3	bbh	2003
22.6	bbh	2003
22.9	bbh	2003
22.3	bbh	2003
22.3	bbh	2003
22.2	bbh	2003
22.6	bbh	2003
22.7	bbh	2003
22.4	bbh	2003
22.5	bbh	2003
22.3	bbh	2003
22.4	bbh	2003
22.6	bbh	2003
22.8	bbh	2003
22.7	bbh	2003
22.4	bbh	2003
22.7	bbh	2003
22.8	bbh	2003
22.7	bbh	2003
22.5	bbh	2003
22.3	bbh	2003
22.1	bbh	2003
22.8	bbh	2003
22.2	bbh	2003
22.8	bbh	2003
22.8	bbh	2003
22.1	bbh	2003
22.9	bbh	2003
22.8	bbh	2003
22.2	bbh	2003
22.3	bbh	2003
22.2	bbh	2003
22.5	bbh	2003
22.8	bbh	2003
22.5	bbh	2003
22.3	bbh	2003
22.1	bbh	2003
22.3	bbh	2003
22.2	bbh	2003
22.5	bbh	2003
22.6	bbh	2003
22.6	bbh	2003
22.1	bbh	2003
22.2	bbh	2003
22.7	bbh	2003
22.2	bbh	2003
22.5	bbh	2003
22.3	bbh	2003
22.2	bbh	2003
22.8	bbh	2003
22.6	bbh	2003
22.7	bbh	2003
22.5	bbh	2003
22.7	bbh	2003
22.2	bbh	2003
22.7	bbh	2003
22.1	bbh	2003
22.7	bbh	2003
22.2	bbh	2003
22.2	bbh	2003
22.1	bbh	2003
22.5	bbh	2003
22.1	bbh	2003
22.4	bbh	2003
22.6	bbh	2003
22.9	bbh	2003
22.5	bbh	2003
22.5	bbh	2003
22.7	bbh	2003
22.9	bbh	2003
22.7	bbh	2003
22.7	bbh	2003
22	bbh	2003
22.5	bbh	2003
22.2	bbh	2003
22.4	bbh	2003
22.5	bbh	2003
22.8	bbh	2003
22.4	bbh	2003
22.1	bbh	2003
22.5	bbh	2003
22.1	bbh	2003
22.5	bbh	2003
22.9	bbh	2003
22.7	bbh	2003
22.3	bbh	2003
22.1	bbh	2003
22.8	bbh	2003
22.5	bbh	2003
22.2	bbh	2003
22.1	bbh	2003
22.2	bbh	2003
22.9	bbh	2003
22.1	bbh	2003
22.8	bbh	2003
22.4	bbh	2003
22.5	bbh	2003
22.4	bbh	2003
22.4	bbh	2003
22.1	bbh	2003
22.1	bbh	2003
22	bbh	2003
22.8	bbh	2003
22.3	bbh	2003
22.2	bbh	2003
22.8	bbh	2003
22.2	bbh	2003
22.6	bbh	2003
22.1	bbh	2003
22.8	bbh	2003
22.9	bbh	2003
22.6	bbh	2003
22.4	bbh	2003
22	bbh	2003
22.1	bbh	2003
22.3	bbh	2003
22.7	bbh	2003
22.1	bbh	2003
22.6	bbh	2003
22.8	bbh	2003
22.4	bbh	2003
22.5	bbh	2003
22.2	bbh	2003
22.3	bbh	2003
22.2	bbh	2003
22.5	bbh	2003
22.8	bbh	2003
22.6	bbh	2003
22.3	bbh	2003
22.1	bbh	2003
22.5	bbh	2003
22.8	bbh	2003
22.8	bbh	2003
22.2	bbh	2003
22.4	bbh	2003
22.6	bbh	2003
22.7	bbh	2003
22.7	bbh	2003
22.2	bbh	2003
22.9	bbh	2003
22.4	bbh	2003
22.2	bbh	2003
22.4	bbh	2003
22.9	bbh	2003
22.8	bbh	2003
22	bbh	2003
22.4	bbh	2003
22.1	bbh	2003
22.6	bbh	2003
22.5	bbh	2003
22.2	bbh	2003
22.9	bbh	2003
22.1	bbh	2003
22.8	bbh	2003
22.1	bbh	2003
22.4	bbh	2003
22.3	bbh	2003
22.4	bbh	2003
22.5	bbh	2003
22.4	bbh	2003
22.8	bbh	2003
22.7	bbh	2003
22.5	bbh	2003
22.5	bbh	2003
22.8	bbh	2003
22.7	bbh	2003
22.3	bbh	2003
22.6	bbh	2003
22.2	bbh	2003
22.6	bbh	2003
22.3	bbh	2003
