# The total length (inches) and age (from scales) of brown trout (Salmo trutta) and
#  rainbow trout (Oncorhynchus mykiss) migrating upstream on the Bois Brule River, 
#  WI in 1978 and 1979.  Data obtained from tables 18 and 19 of Scholl, D.K., P.J.
#  Peeters, and S.T. Schram.  1984.  Migratory brown trout and rainbow trout 
#  populations of the Brule River, Wisconsin.  Wisconsin Department of Natural 
#  Resources, Fish Management Report No. 123.
#
tl	age	species
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	6	Rainbow
25	7	Rainbow
25	7	Rainbow
25	7	Rainbow
25	7	Rainbow
25	7	Rainbow
25	7	Rainbow
25	7	Rainbow
25	7	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	5	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	6	Rainbow
26	7	Rainbow
26	7	Rainbow
26	7	Rainbow
26	7	Rainbow
26	7	Rainbow
26	7	Rainbow
26	7	Rainbow
26	7	Rainbow
26	7	Rainbow
26	7	Rainbow
26	7	Rainbow
26	7	Rainbow
26	8	Rainbow
26	8	Rainbow
26	8	Rainbow
26	8	Rainbow
26	8	Rainbow
27	5	Rainbow
27	5	Rainbow
27	5	Rainbow
27	5	Rainbow
27	5	Rainbow
27	5	Rainbow
27	5	Rainbow
27	5	Rainbow
27	5	Rainbow
27	5	Rainbow
27	5	Rainbow
27	5	Rainbow
27	5	Rainbow
27	5	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	6	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	7	Rainbow
27	8	Rainbow
27	8	Rainbow
27	8	Rainbow
27	8	Rainbow
27	8	Rainbow
27	8	Rainbow
27	8	Rainbow
27	9	Rainbow
27	9	Rainbow
28	5	Rainbow
28	5	Rainbow
28	5	Rainbow
28	6	Rainbow
28	6	Rainbow
28	6	Rainbow
28	6	Rainbow
28	6	Rainbow
28	6	Rainbow
28	6	Rainbow
28	6	Rainbow
28	6	Rainbow
28	6	Rainbow
28	6	Rainbow
28	6	Rainbow
28	6	Rainbow
28	6	Rainbow
28	7	Rainbow
28	7	Rainbow
28	7	Rainbow
28	7	Rainbow
28	7	Rainbow
28	7	Rainbow
28	7	Rainbow
28	7	Rainbow
28	7	Rainbow
28	7	Rainbow
28	7	Rainbow
28	7	Rainbow
28	7	Rainbow
28	8	Rainbow
28	8	Rainbow
28	8	Rainbow
28	9	Rainbow
28	9	Rainbow
28	10	Rainbow
29	5	Rainbow
29	6	Rainbow
29	6	Rainbow
29	6	Rainbow
29	7	Rainbow
29	7	Rainbow
29	7	Rainbow
29	8	Rainbow
29	8	Rainbow
29	8	Rainbow
29	8	Rainbow
29	8	Rainbow
29	8	Rainbow
29	9	Rainbow
29	10	Rainbow
30	6	Rainbow
30	6	Rainbow
30	6	Rainbow
30	7	Rainbow
31	7	Rainbow
31	9	Rainbow
32	7	Rainbow
